RAM 2365/3964MB (lfb 50x4MB) SWAP 474/1982MB (cached 28MB) IRAM 0/252kB(lfb 252kB) CPU [4%@102,0%@102,1%@102,3%@102] EMC_FREQ 24%@1600 GR3D_FREQ 99%@921 APE 25 PLL@28.5C CPU@36C PMIC@50C GPU@32.5C AO@44.5C thermal@34C POM_5V_IN 7123/6795 POM_5V_GPU 4998/4612 POM_5V_CPU 122/139
RAM 2365/3964MB (lfb 50x4MB) SWAP 474/1982MB (cached 28MB) IRAM 0/252kB(lfb 252kB) CPU [2%@204,0%@204,0%@204,3%@204] EMC_FREQ 24%@1600 GR3D_FREQ 99%@921 APE 25 PLL@28.5C CPU@36C PMIC@50C GPU@32.5C AO@44C thermal@34.25C POM_5V_IN 7093/6802 POM_5V_GPU 4884/4618 POM_5V_CPU 122/139
RAM 2365/3964MB (lfb 50x4MB) SWAP 474/1982MB (cached 28MB) IRAM 0/252kB(lfb 252kB) CPU [6%@102,1%@102,2%@102,4%@102] EMC_FREQ 24%@1600 GR3D_FREQ 99%@921 APE 25 PLL@28.5C CPU@36C PMIC@50C GPU@32C AO@44.5C thermal@33C POM_5V_IN 7163/6809 POM_5V_GPU 4998/4626 POM_5V_CPU 122/138
RAM 2365/3964MB (lfb 50x4MB) SWAP 474/1982MB (cached 28MB) IRAM 0/252kB(lfb 252kB) CPU [3%@102,0%@102,0%@102,4%@102] EMC_FREQ 24%@1600 GR3D_FREQ 99%@921 APE 25 PLL@28.5C CPU@33.5C PMIC@50C GPU@32C AO@40.5C thermal@34C POM_5V_IN 5557/6783 POM_5V_GPU 3198/4596 POM_5V_CPU 124/138
RAM 2365/3964MB (lfb 50x4MB) SWAP 474/1982MB (cached 28MB) IRAM 0/252kB(lfb 252kB) CPU [1%@518,2%@518,2%@518,3%@518] EMC_FREQ 24%@1600 GR3D_FREQ 99%@921 APE 25 PLL@28C CPU@35.5C PMIC@50C GPU@31.5C AO@43.5C thermal@34C POM_5V_IN 6017/6768 POM_5V_GPU 3950/4583 POM_5V_CPU 164/138
RAM 2365/3964MB (lfb 50x4MB) SWAP 474/1982MB (cached 28MB) IRAM 0/252kB(lfb 252kB) CPU [3%@403,1%@403,1%@403,4%@403] EMC_FREQ 24%@1600 GR3D_FREQ 99%@921 APE 25 PLL@28C CPU@35.5C PMIC@50C GPU@32C AO@44C thermal@32C POM_5V_IN 6676/6766 POM_5V_GPU 4580/4583 POM_5V_CPU 122/138
RAM 2365/3964MB (lfb 50x4MB) SWAP 474/1982MB (cached 28MB) IRAM 0/252kB(lfb 252kB) CPU [2%@204,0%@204,0%@204,4%@204] EMC_FREQ 23%@1600 GR3D_FREQ 99%@921 APE 25 PLL@28.5C CPU@36.5C PMIC@50C GPU@32C AO@44.5C thermal@34C POM_5V_IN 7012/6771 POM_5V_GPU 4925/4590 POM_5V_CPU 122/138
RAM 2365/3964MB (lfb 50x4MB) SWAP 474/1982MB (cached 28MB) IRAM 0/252kB(lfb 252kB) CPU [6%@102,2%@102,1%@102,4%@102] EMC_FREQ 23%@1600 GR3D_FREQ 99%@921 APE 25 PLL@28.5C CPU@36.5C PMIC@50C GPU@32C AO@44.5C thermal@34.25C POM_5V_IN 7082/6777 POM_5V_GPU 5006/4598 POM_5V_CPU 122/137
RAM 2365/3964MB (lfb 50x4MB) SWAP 474/1982MB (cached 28MB) IRAM 0/252kB(lfb 252kB) CPU [3%@102,0%@102,0%@102,3%@102] EMC_FREQ 24%@1600 GR3D_FREQ 99%@921 APE 25 PLL@28.5C CPU@36C PMIC@50C GPU@32C AO@44C thermal@32.5C POM_5V_IN 7123/6783 POM_5V_GPU 4998/4605 POM_5V_CPU 122/137
RAM 2365/3964MB (lfb 50x4MB) SWAP 474/1982MB (cached 28MB) IRAM 0/252kB(lfb 252kB) CPU [4%@102,0%@102,0%@102,5%@102] EMC_FREQ 23%@1600 GR3D_FREQ 99%@921 APE 25 PLL@28.5C CPU@36C PMIC@50C GPU@32C AO@44C thermal@34C POM_5V_IN 7163/6790 POM_5V_GPU 4884/4610 POM_5V_CPU 122/137
RAM 2365/3964MB (lfb 50x4MB) SWAP 474/1982MB (cached 28MB) IRAM 0/252kB(lfb 252kB) CPU [3%@204,1%@204,1%@204,4%@204] EMC_FREQ 24%@1600 GR3D_FREQ 99%@921 APE 25 PLL@28.5C CPU@36.5C PMIC@50C GPU@32.5C AO@44.5C thermal@34.5C POM_5V_IN 7123/6796 POM_5V_GPU 5006/4617 POM_5V_CPU 122/137
RAM 2365/3964MB (lfb 50x4MB) SWAP 474/1982MB (cached 28MB) IRAM 0/252kB(lfb 252kB) CPU [4%@102,4%@102,1%@102,4%@102] EMC_FREQ 24%@1600 GR3D_FREQ 99%@921 APE 25 PLL@28.5C CPU@34C PMIC@50C GPU@31.5C AO@41C thermal@34.5C POM_5V_IN 5912/6780 POM_5V_GPU 3596/4599 POM_5V_CPU 124/136
RAM 2365/3964MB (lfb 50x4MB) SWAP 474/1982MB (cached 28MB) IRAM 0/252kB(lfb 252kB) CPU [2%@518,0%@518,2%@518,2%@518] EMC_FREQ 24%@1600 GR3D_FREQ 99%@921 APE 25 PLL@28C CPU@35C PMIC@50C GPU@31.5C AO@43.5C thermal@32.25C POM_5V_IN 5664/6761 POM_5V_GPU 3673/4583 POM_5V_CPU 123/136
RAM 2365/3964MB (lfb 50x4MB) SWAP 474/1982MB (cached 28MB) IRAM 0/252kB(lfb 252kB) CPU [2%@518,2%@518,1%@518,4%@518] EMC_FREQ 23%@1600 GR3D_FREQ 99%@921 APE 25 PLL@28.5C CPU@36C PMIC@50C GPU@32C AO@44C thermal@34C POM_5V_IN 6522/6757 POM_5V_GPU 4423/4580 POM_5V_CPU 163/137
RAM 2365/3964MB (lfb 50x4MB) SWAP 474/1982MB (cached 28MB) IRAM 0/252kB(lfb 252kB) CPU [3%@102,1%@102,1%@102,4%@102] EMC_FREQ 23%@1600 GR3D_FREQ 99%@921 APE 25 PLL@28.5C CPU@35.5C PMIC@50C GPU@32C AO@45C thermal@34.25C POM_5V_IN 7012/6761 POM_5V_GPU 4925/4586 POM_5V_CPU 122/136
