RAM 2189/3964MB (lfb 62x4MB) SWAP 466/1982MB (cached 29MB) IRAM 0/252kB(lfb 252kB) CPU [4%@102,2%@102,1%@102,2%@102] EMC_FREQ 23%@1600 GR3D_FREQ 99%@921 APE 25 PLL@28C CPU@36C PMIC@50C GPU@32C AO@44C thermal@33.5C POM_5V_IN 7012/6784 POM_5V_GPU 4884/4637 POM_5V_CPU 122/125
RAM 2189/3964MB (lfb 62x4MB) SWAP 466/1982MB (cached 29MB) IRAM 0/252kB(lfb 252kB) CPU [3%@102,2%@102,0%@102,4%@102] EMC_FREQ 23%@1600 GR3D_FREQ 99%@921 APE 25 PLL@28C CPU@36C PMIC@50C GPU@32C AO@44C thermal@34C POM_5V_IN 7134/6793 POM_5V_GPU 4884/4643 POM_5V_CPU 122/125
RAM 2189/3964MB (lfb 62x4MB) SWAP 466/1982MB (cached 29MB) IRAM 0/252kB(lfb 252kB) CPU [5%@102,2%@102,5%@102,1%@102] EMC_FREQ 23%@1600 GR3D_FREQ 99%@921 APE 25 PLL@28C CPU@36C PMIC@50C GPU@32C AO@44C thermal@33.75C POM_5V_IN 7052/6800 POM_5V_GPU 4925/4651 POM_5V_CPU 122/125
RAM 2189/3964MB (lfb 62x4MB) SWAP 466/1982MB (cached 29MB) IRAM 0/252kB(lfb 252kB) CPU [3%@102,2%@102,0%@102,3%@102] EMC_FREQ 23%@1600 GR3D_FREQ 99%@921 APE 25 PLL@28.5C CPU@35C PMIC@50C GPU@32C AO@44C thermal@34C POM_5V_IN 6788/6799 POM_5V_GPU 4654/4651 POM_5V_CPU 122/125
RAM 2189/3964MB (lfb 62x4MB) SWAP 466/1982MB (cached 29MB) IRAM 0/252kB(lfb 252kB) CPU [2%@307,2%@518,1%@518,4%@518] EMC_FREQ 23%@1600 GR3D_FREQ 71%@921 APE 25 PLL@28C CPU@34C PMIC@50C GPU@31.5C AO@41C thermal@34C POM_5V_IN 4999/6754 POM_5V_GPU 2995/4609 POM_5V_CPU 166/126
RAM 2189/3964MB (lfb 62x4MB) SWAP 466/1982MB (cached 29MB) IRAM 0/252kB(lfb 252kB) CPU [5%@102,3%@102,1%@102,3%@102] EMC_FREQ 23%@1600 GR3D_FREQ 99%@921 APE 25 PLL@28.5C CPU@36C PMIC@50C GPU@32C AO@44C thermal@34C POM_5V_IN 7012/6761 POM_5V_GPU 4884/4616 POM_5V_CPU 122/126
RAM 2189/3964MB (lfb 62x4MB) SWAP 466/1982MB (cached 29MB) IRAM 0/252kB(lfb 252kB) CPU [3%@102,2%@102,1%@102,3%@102] EMC_FREQ 23%@1600 GR3D_FREQ 99%@921 APE 25 PLL@28C CPU@36.5C PMIC@50C GPU@32C AO@44.5C thermal@34.25C POM_5V_IN 7012/6767 POM_5V_GPU 4884/4623 POM_5V_CPU 122/126
RAM 2189/3964MB (lfb 62x4MB) SWAP 466/1982MB (cached 29MB) IRAM 0/252kB(lfb 252kB) CPU [6%@204,3%@204,3%@204,8%@204] EMC_FREQ 23%@1600 GR3D_FREQ 99%@921 APE 25 PLL@28C CPU@36.5C PMIC@50C GPU@32.5C AO@44.5C thermal@34.25C POM_5V_IN 7093/6774 POM_5V_GPU 4965/4630 POM_5V_CPU 122/126
RAM 2189/3964MB (lfb 62x4MB) SWAP 466/1982MB (cached 29MB) IRAM 0/252kB(lfb 252kB) CPU [4%@102,4%@102,2%@102,2%@102] EMC_FREQ 23%@1600 GR3D_FREQ 99%@921 APE 25 PLL@28.5C CPU@36.5C PMIC@50C GPU@32.5C AO@44.5C thermal@34.25C POM_5V_IN 7123/6782 POM_5V_GPU 5039/4640 POM_5V_CPU 122/125
RAM 2189/3964MB (lfb 62x4MB) SWAP 466/1982MB (cached 29MB) IRAM 0/252kB(lfb 252kB) CPU [2%@102,3%@102,1%@102,3%@102] EMC_FREQ 23%@1600 GR3D_FREQ 99%@921 APE 25 PLL@28.5C CPU@36C PMIC@50C GPU@32.5C AO@44.5C thermal@34.25C POM_5V_IN 6971/6786 POM_5V_GPU 4851/4644 POM_5V_CPU 122/125
RAM 2189/3964MB (lfb 62x4MB) SWAP 466/1982MB (cached 29MB) IRAM 0/252kB(lfb 252kB) CPU [2%@102,4%@102,2%@102,4%@102] EMC_FREQ 23%@1600 GR3D_FREQ 99%@921 APE 25 PLL@28.5C CPU@35C PMIC@50C GPU@32C AO@43.5C thermal@34.5C POM_5V_IN 6286/6775 POM_5V_GPU 4184/4634 POM_5V_CPU 123/125
RAM 2189/3964MB (lfb 62x4MB) SWAP 466/1982MB (cached 29MB) IRAM 0/252kB(lfb 252kB) CPU [3%@204,3%@204,2%@204,2%@204] EMC_FREQ 23%@1600 GR3D_FREQ 99%@921 APE 25 PLL@28.5C CPU@34C PMIC@50C GPU@32C AO@41C thermal@34.5C POM_5V_IN 6026/6760 POM_5V_GPU 3715/4615 POM_5V_CPU 124/125
RAM 2189/3964MB (lfb 62x4MB) SWAP 466/1982MB (cached 29MB) IRAM 0/252kB(lfb 252kB) CPU [1%@102,4%@102,1%@102,4%@102] EMC_FREQ 23%@1600 GR3D_FREQ 99%@921 APE 25 PLL@28.5C CPU@36.5C PMIC@50C GPU@32.5C AO@44C thermal@34.25C POM_5V_IN 6982/6764 POM_5V_GPU 4851/4620 POM_5V_CPU 122/125
RAM 2189/3964MB (lfb 62x4MB) SWAP 466/1982MB (cached 29MB) IRAM 0/252kB(lfb 252kB) CPU [4%@102,3%@102,2%@102,3%@102] EMC_FREQ 23%@1600 GR3D_FREQ 99%@921 APE 25 PLL@28.5C CPU@36.5C PMIC@50C GPU@32.5C AO@44.5C thermal@34.25C POM_5V_IN 7093/6771 POM_5V_GPU 4925/4626 POM_5V_CPU 122/125
RAM 2189/3964MB (lfb 62x4MB) SWAP 466/1982MB (cached 29MB) IRAM 0/252kB(lfb 252kB) CPU [1%@204,5%@204,1%@204,3%@204] EMC_FREQ 24%@1600 GR3D_FREQ 99%@921 APE 25 PLL@28.5C CPU@36C PMIC@50C GPU@32.5C AO@44.5C thermal@34.25C POM_5V_IN 7052/6776 POM_5V_GPU 4884/4631 POM_5V_CPU 122/125
RAM 2189/3964MB (lfb 62x4MB) SWAP 466/1982MB (cached 29MB) IRAM 0/252kB(lfb 252kB) CPU [5%@102,4%@102,2%@102,3%@102] EMC_FREQ 24%@1600 GR3D_FREQ 99%@921 APE 25 PLL@28.5C CPU@36C PMIC@50C GPU@32.5C AO@44C thermal@34.25C POM_5V_IN 7093/6783 POM_5V_GPU 4843/4635 POM_5V_CPU 122/125
RAM 2189/3964MB (lfb 62x4MB) SWAP 466/1982MB (cached 29MB) IRAM 0/252kB(lfb 252kB) CPU [2%@102,1%@102,1%@102,5%@102] EMC_FREQ 23%@1600 GR3D_FREQ 99%@921 APE 25 PLL@28.5C CPU@36C PMIC@50C GPU@32C AO@44C thermal@34.25C POM_5V_IN 6788/6783 POM_5V_GPU 4736/4637 POM_5V_CPU 122/125
RAM 2189/3964MB (lfb 62x4MB) SWAP 466/1982MB (cached 29MB) IRAM 0/252kB(lfb 252kB) CPU [2%@614,4%@614,2%@614,5%@614] EMC_FREQ 23%@1600 GR3D_FREQ 58%@921 APE 25 PLL@28.5C CPU@34C PMIC@50C GPU@31C AO@42C thermal@34.25C POM_5V_IN 5158/6752 POM_5V_GPU 3198/4610 POM_5V_CPU 165/126
RAM 2189/3964MB (lfb 62x4MB) SWAP 466/1982MB (cached 29MB) IRAM 0/252kB(lfb 252kB) CPU [2%@102,4%@102,2%@102,2%@102] EMC_FREQ 23%@1600 GR3D_FREQ 99%@921 APE 25 PLL@28.5C CPU@36C PMIC@50C GPU@32.5C AO@44.5C thermal@34.25C POM_5V_IN 7012/6757 POM_5V_GPU 4925/4616 POM_5V_CPU 122/126
RAM 2189/3964MB (lfb 62x4MB) SWAP 466/1982MB (cached 29MB) IRAM 0/252kB(lfb 252kB) CPU [1%@102,4%@102,0%@102,4%@204] EMC_FREQ 23%@1600 GR3D_FREQ 99%@921 APE 25 PLL@28.5C CPU@36.5C PMIC@50C GPU@32.5C AO@44.5C thermal@34.5C POM_5V_IN 7052/6762 POM_5V_GPU 4884/4621 POM_5V_CPU 122/126
RAM 2189/3964MB (lfb 62x4MB) SWAP 466/1982MB (cached 29MB) IRAM 0/252kB(lfb 252kB) CPU [4%@102,3%@102,3%@102,3%@102] EMC_FREQ 23%@1600 GR3D_FREQ 99%@921 APE 25 PLL@29C CPU@36.5C PMIC@50C GPU@33C AO@45C thermal@34.5C POM_5V_IN 7163/6769 POM_5V_GPU 4998/4627 POM_5V_CPU 122/125
RAM 2189/3964MB (lfb 62x4MB) SWAP 466/1982MB (cached 29MB) IRAM 0/252kB(lfb 252kB) CPU [3%@204,3%@204,2%@204,5%@204] EMC_FREQ 23%@1600 GR3D_FREQ 99%@921 APE 25 PLL@28.5C CPU@36C PMIC@50C GPU@33C AO@45C thermal@34.25C POM_5V_IN 7163/6776 POM_5V_GPU 5039/4635 POM_5V_CPU 122/125
RAM 2189/3964MB (lfb 62x4MB) SWAP 466/1982MB (cached 29MB) IRAM 0/252kB(lfb 252kB) CPU [3%@102,3%@102,2%@102,4%@102] EMC_FREQ 23%@1600 GR3D_FREQ 99%@921 APE 25 PLL@28.5C CPU@36.5C PMIC@50C GPU@32.5C AO@44.5C thermal@34.25C POM_5V_IN 7012/6780 POM_5V_GPU 4925/4640 POM_5V_CPU 122/125
RAM 2193/3964MB (lfb 62x4MB) SWAP 466/1982MB (cached 29MB) IRAM 0/252kB(lfb 252kB) CPU [3%@1479,4%@1479,1%@1479,8%@1479] EMC_FREQ 23%@1600 GR3D_FREQ 0%@921 APE 25 PLL@28.5C CPU@33C PMIC@50C GPU@30.5C AO@38.5C thermal@34.25C POM_5V_IN 3474/6724 POM_5V_GPU 1101/4580 POM_5V_CPU 677/135
