Model Name,Layers,Total Parameters,Total MACs,Network Type,Input Size,Avrg_RAM,Avrg_SWAP,Avrg_IRAM,Avrg_CPU,Avrg_GPU,Avrg_EMC_FREQ,Avrg_APE,Avrg_PMIC,Avrg_AO,Avrg_THERMAL,Avrg_POM_5V_IN,Avrg_POM_5V_GPU,Avrg_POM_5V_CPU,Avrg_PLL,Avrg_GPU_TEMP,Avrg_CPU_TEMP,Total_POM_5V_IN,Total_POM_5V_GPU,Total_POM_5V_CPU,num_inferences,average_latency(ms),GPU_energy_per_inference,CPU_energy_per_inference
convnet_L5_F256_K6x6_3_K7x7_2_W50,5,14306058,18263597322,ConvNet,50,1600.0,217.0,0.0,2.296610169491525,94.49152542372882,10.677966101694915,25.0,50.0,44.65151515151515,34.30813953488372,6759.186440677966,4867.9152542372885,123.49152542372882,28.75675675675676,32.13636363636363,36.41666666666666,398792.0,287207.0,7286.0,299.0,200.2050232887268,960.5585284280936,24.367892976588628
convnet_L5_F256_K6x6_3_K7x7_2_W60,5,16354058,28374829322,ConvNet,60,1611.0,217.0,0.0,1.7801724137931034,96.43103448275862,10.758620689655173,25.0,50.0,45.19230769230769,34.46052631578947,6866.241379310345,4955.827586206897,122.75862068965516,28.8,32.65625,36.54545454545455,398242.0,287438.0,7120.0,198.0,302.1041631698608,1451.707070707071,35.95959595959596
convnet_L5_F256_K6x6_3_K7x7_2_W70,5,18914058,40720582922,ConvNet,70,1621.6842105263158,217.0,0.0,1.4342105263157894,97.94736842105264,11.824561403508772,25.0,50.0,45.18,34.495098039215684,6739.0,4803.736842105263,125.71929824561404,28.97297297297297,32.785714285714285,36.483870967741936,384123.0,273813.0,7166.0,137.0,437.84728527069086,1998.6350364963505,52.306569343065696
convnet_L5_F256_K7x7_3_K2x2_2_W90,5,23369738,46812092938,ConvNet,90,1649.0,217.0,0.0,1.5,97.42372881355932,13.813559322033898,25.0,50.0,44.96153846153846,34.57432432432432,6903.254237288135,4925.779661016949,124.16949152542372,28.93103448275862,32.8,36.4,407292.0,290621.0,7326.0,121.0,498.5110831260681,2401.826446280992,60.54545454545455
convnet_L5_F256_K7x7_3_K3x3_2_W90,5,23216138,49760872458,ConvNet,90,1655.2881355932204,217.0,0.0,1.9067796610169487,97.3728813559322,18.57627118644068,25.0,50.0,45.16666666666666,34.75,6975.8983050847455,4905.440677966101,123.98305084745763,28.97142857142857,32.97142857142857,36.625,411578.0,289421.0,7315.0,120.0,502.077956199646,2411.8416666666667,60.958333333333336
convnet_L6_F128_K1x1_3_K2x2_3_W60,6,6324618,1013456010,ConvNet,60,1819.5762711864409,217.0,0.0,10.85593220338983,83.59322033898304,31.1864406779661,25.0,50.0,38.833333333333336,30.69047619047619,5244.593220338983,2773.3728813559323,219.45762711864407,27.0,29.933333333333334,32.0,309431.0,163629.0,12948.0,2347.0,25.3325128555297,69.71836386876863,5.516829995739242
convnet_L6_F128_K1x1_3_K2x2_3_W70,6,8219018,1342989450,ConvNet,70,1830.050847457627,217.0,0.0,9.73728813559322,85.57627118644068,32.52542372881356,25.0,50.0,38.72222222222222,30.61458333333333,5397.525423728814,2936.0338983050847,201.4237288135593,26.791666666666668,29.294117647058822,32.0,318454.0,173226.0,11884.0,1821.0,33.7186455726623,95.12685337726523,6.526084568918177
convnet_L6_F128_K1x1_3_K2x2_3_W80,6,10369418,1718884490,ConvNet,80,1841.1525423728813,217.0,0.0,9.622881355932204,87.89830508474576,32.559322033898304,25.0,50.0,38.53225806451613,30.375,5347.406779661017,2904.64406779661,181.728813559322,26.27272727272728,29.26086956521739,31.40625,315497.0,171374.0,10722.0,1426.0,40.5134224891662,120.1781206171108,7.518934081346424
convnet_L6_F128_K1x1_3_K2x2_3_W90,6,12775818,2141141130,ConvNet,90,1855.0,217.0,0.0,8.313559322033898,84.69491525423729,33.94915254237288,25.0,50.0,38.53448275862069,30.414473684210527,5439.813559322034,2987.0508474576272,170.3050847457627,26.727272727272727,29.2,31.60869565217392,320949.0,176236.0,10048.0,1172.0,51.3465094566345,150.37201365187713,8.573378839590443
convnet_L6_F128_K1x1_3_K2x2_3_W100,6,15438218,2609759370,ConvNet,100,1868.1864406779664,217.0,0.0,6.805084745762712,88.8135593220339,32.94915254237288,25.0,50.0,40.05882352941177,31.83522727272728,5471.847457627118,2993.7796610169494,161.16949152542372,28.0,31.0,33.36363636363637,322839.0,176633.0,9509.0,930.0,64.1551446914672,189.9279569892473,10.2247311827957
