Model Name,Layers,Total Parameters,Convolution Parameters,Total MACs,Network Type,Input Size,Avrg_RAM,Avrg_SWAP,Avrg_IRAM,Avrg_CPU,Avrg_GPU,Avrg_EMC_FREQ,Avrg_APE,Avrg_PMIC,Avrg_AO,Avrg_THERMAL,Avrg_POM_5V_IN,Avrg_POM_5V_GPU,Avrg_POM_5V_CPU,Avrg_PLL,Avrg_GPU_TEMP,Avrg_CPU_TEMP,Total_POM_5V_IN,Total_POM_5V_GPU,Total_POM_5V_CPU,num_inferences,average_latency(ms),GPU_energy_per_inference,CPU_energy_per_inference
convnet_L9_F256_K2x2_W30_DWS,9,8855065,537615,1195013593,dws,30,1667.0,159.0,0.0,9.792372881355933,88.98305084745763,32.33898305084746,25.0,50.0,39.0,30.36875,5352.033898305085,2890.3050847457625,198.59322033898303,26.41025641025641,29.058823529411764,31.772727272727277,315770.0,170528.0,11717.0,1556,37.425282001495304,109.59383033419023,7.530205655526992
convnet_L9_F256_K2x2_W40_DWS,9,12029465,537615,1751650913,dws,40,1680.0172413793102,159.0,0.0,9.19396551724138,89.32758620689656,33.224137931034484,25.0,50.0,39.03846153846154,30.49375,5486.344827586207,3020.4137931034484,173.70689655172413,26.70967741935484,29.38095238095238,32.0,318208.0,175184.0,10075.0,1111,53.3623194694519,157.6813681368137,9.068406840684068
convnet_L9_F256_K2x2_W50_DWS,9,15715865,537615,2416323233,dws,50,1697.0689655172414,159.0,0.0,8.112068965517242,91.27586206896552,33.91379310344828,25.0,50.0,39.5,30.710526315789476,5575.775862068966,3133.844827586207,162.1551724137931,26.65625,29.73913043478261,32.285714285714285,323395.0,181763.0,9405.0,837,74.3040585517883,217.16009557945043,11.236559139784946
convnet_L9_F256_K2x2_W60_DWS,9,19914265,537615,3189030553,dws,60,1720.7586206896551,159.0,0.0,6.849137931034483,90.96551724137932,34.741379310344826,25.0,50.0,39.31578947368421,30.77380952380953,5566.189655172414,3119.155172413793,157.22413793103448,26.607142857142858,29.64,32.27586206896552,322839.0,180911.0,9119.0,655,92.4548244476318,276.2,13.922137404580152
convnet_L9_F256_K2x2_W70_DWS,9,24624665,537615,4069772873,dws,70,1738.966101694915,159.0,0.0,5.783898305084746,94.03389830508476,34.847457627118644,25.0,50.0,38.833333333333336,30.85897435897436,5598.4915254237285,3122.93220338983,155.40677966101694,26.75,29.62962962962963,31.84,330311.0,184253.0,9169.0,523,113.70384216308591,352.3001912045889,17.53154875717017
convnet_L9_F256_K2x2_W80_DWS,9,29847065,537615,5058550193,dws,80,1768.326923076923,159.0,0.0,5.740384615384615,95.78846153846152,24.23076923076923,25.0,50.0,39.8,31.115853658536587,5575.096153846154,3354.8076923076924,140.3846153846154,26.647058823529413,29.666666666666668,32.708333333333336,289905.0,174450.0,7300.0,468,127.54519462585439,372.7564102564103,15.598290598290598
convnet_L9_F256_K2x2_W90_DWS,9,35581465,537615,6155362513,dws,90,1788.0,159.0,0.0,5.495689655172414,93.70689655172414,24.379310344827587,25.0,50.0,39.57407407407408,30.920731707317078,5644.362068965517,3400.4827586206898,137.13793103448276,26.666666666666668,29.703703703703702,32.535714285714285,327373.0,197228.0,7954.0,388,153.840000629425,508.319587628866,20.5
convnet_L9_F256_K2x2_W100_DWS,9,41827865,537615,7360209833,dws,100,1822.033898305085,159.0,0.0,4.885593220338983,94.76271186440678,24.83050847457627,25.0,50.0,39.8,31.085714285714285,5586.237288135593,3353.1525423728813,140.83050847457628,26.710526315789476,29.6,33.0,329588.0,197836.0,8309.0,326,183.76592636108398,606.8588957055215,25.487730061349694
convnet_L9_F256_K3x3_W20_DWS,9,1571880,547870,220172010,dws,20,1639.2881355932204,159.0,0.0,15.860169491525424,87.50847457627118,25.05084745762712,25.0,50.0,39.46551724137931,31.345,5464.762711864407,3016.593220338983,369.8305084745763,27.11111111111111,29.96875,32.6551724137931,322421.0,177979.0,21820.0,8709,8.983452320098799,20.43621540934665,2.5054541279136524
convnet_L9_F256_K3x3_W30_DWS,9,2851880,547870,495387010,dws,30,1643.864406779661,159.0,0.0,13.008474576271189,88.64406779661017,32.440677966101696,25.0,50.0,40.04838709677419,31.5625,5846.067796610169,3318.423728813559,295.864406779661,27.166666666666668,30.344827586206897,32.80769230769231,344918.0,195787.0,17456.0,4521,14.4346141815185,43.30612696306127,3.8610926786109268
