Model Name,Layers,Total Parameters,Total MACs,Network Type,Input Size,Avrg_RAM,Avrg_SWAP,Avrg_IRAM,Avrg_CPU,Avrg_GPU,Avrg_EMC_FREQ,Avrg_APE,Avrg_PLL,Avrg_CPU_TEMP,Avrg_PMIC,Avrg_AO,Avrg_POM_5V_IN,Avrg_POM_5V_GPU,Avrg_POM_5V_CPU,Avrg_THERMAL,Avrg_GPU_TEMP,Total_POM_5V_IN,Total_POM_5V_GPU,Total_POM_5V_CPU,num_inferences,average_latency(ms),GPU_energy_per_inference,CPU_energy_per_inference
convnet_L2_F320_K2x2_W80,2,24081290,3084093770,ConvNet,80,1991.4915254237287,215.0,0.0,5.677966101694915,94.61016949152544,35.13559322033898,25.0,25.40740740740741,30.62962962962963,50.0,36.766666666666666,5298.016949152542,2781.694915254237,145.16949152542372,29.24019607843137,27.88888888888889,312583.0,164120.0,8565.0,768.0,76.4358615875244,213.69791666666666,11.15234375
convnet_L2_F320_K2x2_W85,2,26913290,3453261770,ConvNet,85,2001.728813559322,215.0,0.0,4.673728813559322,93.61016949152544,32.94915254237288,25.0,25.73913043478261,30.63636363636364,50.0,37.35294117647059,5377.966101694915,2894.406779661017,132.23728813559322,29.32608695652174,28.11764705882353,317300.0,170770.0,7802.0,529.0,113.4938168525695,322.8166351606805,14.748582230623818
convnet_L2_F320_K2x2_W90,2,29905290,3843293770,ConvNet,90,2016.0,215.0,0.0,4.559322033898305,94.84745762711864,20.42372881355932,25.0,25.625,31.103448275862068,50.0,38.16666666666666,5186.881355932203,3062.8474576271187,131.98305084745763,29.58108108108108,28.27586206896552,306026.0,180708.0,7787.0,524.0,113.97535800933831,344.8625954198473,14.860687022900763
convnet_L2_F320_K2x2_W95,2,33057290,4254189770,ConvNet,95,2030.0,215.0,0.0,4.262711864406779,95.7457627118644,20.559322033898304,25.0,25.23076923076923,30.541666666666668,50.0,37.535714285714285,5048.186440677966,2893.169491525424,132.0677966101695,29.54878048780488,28.07692307692308,297843.0,170697.0,7792.0,469.0,129.9303746223449,363.95948827292113,16.61407249466951
convnet_L2_F320_K2x2_W100,2,36369290,4685949770,ConvNet,100,2044.084745762712,215.0,0.0,4.13135593220339,92.7457627118644,20.779661016949152,25.0,25.53846153846154,31.24,50.0,38.5,5163.525423728814,3052.4745762711864,136.11864406779662,30.29,28.535714285714285,304648.0,180096.0,8031.0,429.0,139.9328827857971,419.8041958041958,18.72027972027972
convnet_L2_F320_K3x3_W50,2,8930890,2335200010,ConvNet,50,1685.1694915254238,215.0,0.0,7.580508474576271,83.9322033898305,47.94915254237288,25.0,26.307692307692307,31.85185185185185,50.0,39.142857142857146,5978.9152542372885,3305.864406779661,134.1864406779661,30.422619047619047,29.20833333333333,352756.0,195046.0,7917.0,1733.0,35.1359057426452,112.54818234275822,4.568378534333526
convnet_L2_F320_K3x3_W55,2,10610890,2825592010,ConvNet,55,1690.033898305085,215.0,0.0,7.529661016949152,86.88135593220339,48.96610169491525,25.0,26.05555555555556,32.0,50.0,39.148648648648646,6043.169491525424,3360.983050847457,141.83050847457628,30.46,29.36,356547.0,198298.0,8368.0,1612.0,37.1986413002014,123.0136476426799,5.19106699751861
convnet_L2_F320_K3x3_W60,2,12450890,3362688010,ConvNet,60,1698.593220338983,215.0,0.0,7.36864406779661,84.05084745762711,37.69491525423729,25.0,26.096774193548388,32.03225806451613,50.0,39.44285714285714,5953.661016949152,3517.3050847457625,146.6949152542373,30.55555555555556,29.55172413793104,351266.0,207521.0,8655.0,1571.0,37.6691102981567,132.09484404837684,5.509229789942712
convnet_L2_F320_K3x3_W65,2,14450890,3946488010,ConvNet,65,1707.033898305085,215.0,0.0,5.860169491525424,85.54237288135593,38.84745762711864,25.0,26.22222222222222,32.0,50.0,39.3974358974359,6036.033898305085,3576.338983050848,136.38983050847455,30.56547619047619,29.541666666666668,356126.0,211004.0,8047.0,1222.0,49.4576406478881,172.671031096563,6.585106382978723
convnet_L2_F320_K3x3_W70,2,16610890,4576992010,ConvNet,70,1721.033898305085,215.0,0.0,5.436440677966102,92.84745762711864,52.20338983050848,25.0,26.5,32.0,50.0,38.98648648648648,6252.033898305085,3414.322033898305,146.98305084745763,30.46590909090909,29.5,368870.0,201445.0,8672.0,1056.0,56.3074660301208,190.7623106060606,8.212121212121213
convnet_L2_F320_K3x3_W75,2,18930890,5254200010,ConvNet,75,1728.033898305085,215.0,0.0,4.851694915254237,90.33898305084746,52.54237288135593,25.0,26.666666666666668,32.03703703703704,50.0,39.74242424242424,6040.28813559322,3359.542372881356,141.67796610169492,30.796511627906977,29.653846153846157,356377.0,198213.0,8359.0,944.0,62.687084674835205,209.97139830508473,8.854872881355933
convnet_L2_F320_K3x3_W80,2,21410890,5978112010,ConvNet,80,1741.949152542373,215.0,0.0,5.296610169491525,95.49152542372882,40.6271186440678,25.0,26.79310344827586,32.2962962962963,50.0,39.5625,5851.71186440678,3390.423728813559,139.83050847457628,31.14444444444445,29.89655172413793,345251.0,200035.0,8250.0,1000.0,60.107419490814195,200.035,8.25
convnet_L2_F320_K3x3_W85,2,24050890,6748728010,ConvNet,85,1753.0,215.0,0.0,4.161016949152542,90.44067796610167,39.77966101694916,25.0,26.89189189189189,33.03333333333333,50.0,40.1875,6194.8983050847455,3719.915254237288,124.38983050847456,31.22826086956522,30.107142857142858,365499.0,219475.0,7339.0,810.0,76.46694183349601,270.9567901234568,9.060493827160494
convnet_L2_F320_K3x3_W90,2,26850890,7566048010,ConvNet,90,1763.8135593220338,215.0,0.0,4.1059322033898304,92.1186440677966,53.61016949152543,25.0,27.428571428571427,32.935483870967744,50.0,40.13636363636363,6462.762711864407,3610.745762711864,124.52542372881356,31.435897435897434,30.424242424242426,381303.0,213034.0,7347.0,669.0,89.3088006973266,318.4364723467863,10.98206278026906
convnet_L2_F320_K3x3_W95,2,29810890,8430072010,ConvNet,95,1777.051724137931,215.0,0.0,4.241379310344827,96.44827586206895,39.72413793103448,25.0,27.51851851851852,32.464285714285715,50.0,39.79032258064516,5560.086206896552,3246.396551724138,129.36206896551724,31.597826086956523,30.5,322485.0,188291.0,7503.0,708.0,84.363043308258,265.9477401129943,10.597457627118644
convnet_L2_F320_K3x3_W100,2,32930890,9340800010,ConvNet,100,1791.0,215.0,0.0,3.7711864406779663,92.83050847457628,41.47457627118644,25.0,25.933333333333334,31.807692307692307,50.0,39.65625,6325.762711864407,3805.796610169492,128.66101694915255,30.45833333333333,29.33333333333333,373220.0,224542.0,7591.0,601.0,99.3207931518554,373.61397670549087,12.630615640599002
convnet_L2_F320_K4x4_W35,2,6035210,2268109770,ConvNet,35,1662.0169491525423,215.0,0.0,7.588983050847458,79.44067796610169,19.23728813559322,25.0,27.071428571428573,33.588235294117645,50.0,40.9375,5816.983050847458,3703.830508474576,149.91525423728814,31.853658536585368,30.24242424242424,343202.0,218526.0,8845.0,1710.0,35.090365409850996,127.79298245614035,5.1725146198830405
convnet_L2_F320_K4x4_W40,2,7299210,2922704970,ConvNet,40,1668.1525423728813,215.0,0.0,6.673728813559322,86.67796610169492,20.11864406779661,25.0,26.97222222222222,33.484848484848484,50.0,41.16666666666666,5949.71186440678,3837.779661016949,135.135593220339,31.83695652173913,30.13793103448276,351033.0,226429.0,7973.0,1401.0,42.2329950332641,161.6195574589579,5.690935046395432
convnet_L2_F320_K4x4_W45,2,8723210,3660180170,ConvNet,45,1676.4745762711864,215.0,0.0,5.834745762711864,88.86440677966101,13.76271186440678,25.0,27.0,33.90909090909091,50.0,41.68181818181818,6070.322033898305,4120.35593220339,132.08474576271186,32.06111111111111,30.44,358149.0,243101.0,7793.0,1200.0,49.8398280143737,202.58416666666668,6.494166666666667
convnet_L2_F320_K4x4_W50,2,10307210,4480535370,ConvNet,50,1679.0,215.0,0.0,5.050847457627119,88.38983050847457,22.23728813559322,25.0,26.964285714285715,33.61764705882353,50.0,41.52941176470589,6261.559322033899,4094.254237288136,124.2542372881356,31.84027777777778,30.225806451612904,369432.0,241561.0,7331.0,957.0,61.0904002189636,252.41483803552768,7.660397074190177
convnet_L2_F320_K4x4_W55,2,12051210,5383770570,ConvNet,55,1690.728813559322,215.0,0.0,4.576271186440678,91.49152542372882,23.06779661016949,25.0,26.91891891891892,33.57575757575758,50.0,41.3421052631579,6322.4915254237285,4125.576271186441,133.5593220338983,31.85326086956522,30.058823529411764,373027.0,243409.0,7880.0,811.0,73.94450187683101,300.134401972873,9.716399506781752
convnet_L2_F320_K4x4_W60,2,13955210,6369885770,ConvNet,60,1699.1724137931035,215.0,0.0,3.956896551724138,94.55172413793105,23.25862068965517,25.0,26.857142857142858,33.9,50.0,41.21052631578947,6342.448275862069,4144.189655172414,123.58620689655172,31.80263157894737,30.041666666666668,367862.0,240363.0,7168.0,684.0,87.74610280990599,351.4078947368421,10.47953216374269
convnet_L2_F320_K4x4_W65,2,16019210,7438880970,ConvNet,65,1707.0,215.0,0.0,3.7288135593220337,94.135593220339,16.220338983050848,25.0,26.89655172413793,34.32,50.0,41.98571428571429,6357.9152542372885,4345.237288135593,129.0677966101695,32.17763157894737,30.4375,375117.0,256369.0,7615.0,629.0,94.04714345932,407.5818759936407,12.106518282988871
convnet_L2_F320_K4x4_W70,2,18243210,8590756170,ConvNet,70,1716.1525423728813,215.0,0.0,3.5084745762711864,96.08474576271186,24.694915254237287,25.0,26.916666666666668,33.857142857142854,50.0,41.642857142857146,6450.186440677966,4211.338983050848,128.45762711864407,32.06410256410256,30.51851851851852,380561.0,248469.0,7579.0,532.0,114.67873096466059,467.046992481203,14.246240601503759
convnet_L2_F320_K4x4_W75,2,20627210,9825511370,ConvNet,75,1728.0169491525423,215.0,0.0,3.3008474576271185,92.49152542372882,24.79661016949153,25.0,27.074074074074076,34.214285714285715,50.0,41.68918918918919,6502.542372881356,4246.3050847457625,127.84745762711864,32.17857142857143,30.483870967741936,383650.0,250532.0,7543.0,459.0,129.6302843093872,545.8213507625272,16.43355119825708
convnet_L2_F384_K2x2_W55,2,14883850,2227245706,ConvNet,55,1945.677966101695,219.0,0.0,7.978813559322034,86.20338983050847,33.05084745762712,25.0,26.035714285714285,31.464285714285715,50.0,38.20967741935484,5435.64406779661,2964.0677966101694,150.10169491525423,30.064285714285717,28.92105263157895,320703.0,174880.0,8856.0,1111.0,54.5330572128295,157.4077407740774,7.971197119711971
convnet_L2_F384_K2x2_W60,2,17322250,2607486346,ConvNet,60,1962.033898305085,219.0,0.0,7.2923728813559325,87.89830508474576,34.79661016949152,25.0,26.066666666666663,31.580645161290324,50.0,38.34375,5558.152542372882,3063.338983050848,135.4915254237288,30.127777777777776,28.869565217391305,327931.0,180737.0,7994.0,990.0,65.2969408035278,182.56262626262625,8.074747474747475
convnet_L2_F384_K2x2_W65,2,19952650,3017678986,ConvNet,65,1968.0,219.0,0.0,6.987288135593221,85.62711864406779,20.338983050847457,25.0,26.0,32.25,50.0,39.0625,5313.372881355932,3234.6610169491523,139.88135593220338,30.39673913043478,28.975,313489.0,190845.0,8253.0,953.0,66.0325908660888,200.2570828961175,8.660020986358866
convnet_L2_F384_K2x2_W70,2,22775050,3457823626,ConvNet,70,1981.0,219.0,0.0,5.927966101694915,86.83050847457628,35.96610169491525,25.0,25.97222222222222,31.76,50.0,38.75,5633.033898305085,3177.7796610169494,139.45762711864407,30.28846153846154,28.884615384615383,332349.0,187489.0,8228.0,771.0,77.6821732521057,243.1763942931258,10.671854734111543
convnet_L2_F384_K2x2_W75,2,25789450,3927920266,ConvNet,75,1995.050847457627,219.0,0.0,4.915254237288136,90.40677966101696,36.40677966101695,25.0,25.925925925925927,31.548387096774192,50.0,38.833333333333336,5672.71186440678,3164.983050847457,135.45762711864407,30.20731707317073,29.14814814814815,334690.0,186734.0,7992.0,680.0,88.63291740417479,274.6088235294118,11.75294117647059
convnet_L2_F384_K2x2_W80,2,28995850,4427968906,ConvNet,80,2007.949152542373,219.0,0.0,4.72457627118644,93.16949152542372,37.559322033898304,25.0,26.448275862068964,31.73913043478261,50.0,38.90625,5757.254237288135,3251.35593220339,132.16949152542372,30.427777777777777,29.517241379310345,339678.0,191830.0,7798.0,620.0,97.29707956314081,309.4032258064516,12.57741935483871
convnet_L2_F384_K2x2_W85,2,32394250,4957969546,ConvNet,85,2023.0,219.0,0.0,3.923728813559322,96.72881355932203,25.220338983050848,25.0,26.0,31.43478260869565,50.0,39.01515151515152,5455.152542372882,3246.3050847457625,129.01694915254237,30.06875,29.035714285714285,321854.0,191532.0,7612.0,489.0,121.6538834571838,391.680981595092,15.566462167689162
convnet_L2_F384_K2x2_W90,2,35984650,5517922186,ConvNet,90,2038.0,219.0,0.0,3.7288135593220337,90.55932203389833,37.35593220338984,25.0,25.866666666666667,30.875,50.0,38.785714285714285,5664.322033898305,3141.508474576271,133.61016949152545,29.90340909090909,28.59090909090909,334195.0,185349.0,7883.0,416.0,143.4883117675781,445.5504807692308,18.94951923076923
convnet_L2_F384_K2x2_W95,2,39767050,6107826826,ConvNet,95,2055.0,219.9152542372881,0.0,3.843220338983051,96.03389830508476,25.305084745762716,25.0,25.97142857142857,31.428571428571427,50.0,38.57142857142857,5519.661016949152,3262.542372881356,132.64406779661016,30.17391304347826,28.88,325660.0,192490.0,7826.0,400.0,150.9245061874389,481.225,19.565
convnet_L2_F384_K2x2_W100,2,43741450,6727683466,ConvNet,100,2080.258620689656,215.0,0.0,3.3706896551724137,93.8793103448276,25.32758620689655,25.0,26.25,32.24242424242424,50.0,39.148648648648646,5521.931034482759,3308.396551724138,124.79310344827586,30.577380952380956,29.346153846153847,320272.0,191887.0,7238.0,363.0,165.0312328338623,528.6143250688705,19.939393939393938
convnet_L2_F384_K3x3_W40,2,7482250,2147328010,ConvNet,40,1678.0169491525423,223.0,0.0,9.59322033898305,82.16949152542372,48.1864406779661,25.0,26.266666666666666,31.884615384615383,50.0,39.46296296296296,6121.016949152542,3489.508474576271,145.32203389830508,30.41304347826087,29.05555555555556,361140.0,205881.0,8574.0,2246.0,25.294835567474298,91.66562778272484,3.817453250222618
convnet_L2_F384_K3x3_W45,2,9114250,2717712010,ConvNet,45,1687.0169491525423,223.0,0.0,8.09322033898305,85.61016949152543,48.59322033898305,25.0,26.75862068965517,32.357142857142854,50.0,39.55882352941177,6189.728813559322,3503.5254237288136,148.15254237288136,30.925,29.6875,365194.0,206708.0,8741.0,1857.0,31.0222554206848,111.31287022078621,4.707054388799138
convnet_L2_F384_K3x3_W50,2,10938250,3355200010,ConvNet,50,1690.033898305085,223.0,0.0,6.593220338983051,85.1864406779661,50.45762711864407,25.0,26.923076923076923,32.86206896551724,50.0,40.04838709677419,6276.152542372882,3559.406779661017,143.33898305084745,31.30625,30.0,370293.0,210005.0,8457.0,1372.0,43.509128093719404,153.0648688046647,6.16399416909621
convnet_L2_F384_K3x3_W55,2,12954250,4059792010,ConvNet,55,1699.1724137931035,223.0,0.0,6.112068965517241,89.17241379310344,51.41379310344828,25.0,27.448275862068964,33.088235294117645,50.0,40.53125,6462.672413793103,3702.3275862068967,125.22413793103448,31.672619047619047,30.62962962962963,374835.0,214735.0,7263.0,1274.0,48.5247159004211,168.55180533751962,5.70094191522763
