Model Name,Layers,Total Parameters,Total MACs,Network Type,Input Size,Avrg_RAM,Avrg_SWAP,Avrg_IRAM,Avrg_CPU,Avrg_GPU,Avrg_EMC_FREQ,Avrg_APE,Avrg_PMIC,Avrg_AO,Avrg_THERMAL,Avrg_POM_5V_IN,Avrg_POM_5V_GPU,Avrg_POM_5V_CPU,Avrg_CPU_TEMP,Avrg_GPU_TEMP,Avrg_PLL,Total_POM_5V_IN,Total_POM_5V_GPU,Total_POM_5V_CPU,num_inferences,average_latency(ms),GPU_energy_per_inference,CPU_energy_per_inference
convnet_L2_F1024_K4x4_W30,2,27314186,17239622666,ConvNet,30,1788.2203389830509,378.0,0.0,2.610169491525424,98.9322033898305,12.847457627118644,25.0,50.0,43.75925925925926,33.26973684210526,6760.033898305085,4743.457627118644,128.03389830508473,35.5,31.205882352941178,27.821428571428573,398842.0,279864.0,7554.0,324,184.7865200042724,863.7777777777778,23.314814814814813
convnet_L2_F1024_K4x4_W40,2,34891786,29699224586,ConvNet,40,1816.0,378.0,0.0,2.139830508474576,97.83050847457628,14.135593220338984,25.0,50.0,43.02,32.541666666666664,6635.881355932203,4634.372881355932,131.77966101694915,34.78125,30.80555555555556,27.0,391517.0,273428.0,7775.0,187,321.3031816482544,1462.1818181818182,41.57754010695187
convnet_L2_F1024_K4x4_W50,2,44517386,45526557706,ConvNet,50,1855.0,378.0,0.0,1.5,98.33898305084746,14.067796610169491,25.0,50.0,42.741379310344826,32.31547619047619,6593.3050847457625,4650.169491525424,127.67796610169492,34.48717948717949,30.633333333333333,26.83333333333333,389005.0,274360.0,7533.0,120,501.9787406921387,2286.3333333333335,62.775
convnet_L3_F256_K4x4_W70,3,15752458,11103247370,ConvNet,70,1738.8983050847455,446.0,0.0,3.2711864406779663,96.40677966101696,17.440677966101696,25.0,50.0,41.46875,31.63157894736842,6242.745762711865,4214.966101694915,126.84745762711864,33.46666666666667,29.863636363636363,26.4,368322.0,248683.0,7484.0,443,134.6882581710815,561.3611738148984,16.89390519187359
convnet_L3_F256_K4x4_W80,3,19746058,14377687050,ConvNet,80,1756.8983050847455,445.0,0.0,2.694915254237288,94.59322033898304,17.54237288135593,25.0,50.0,41.07142857142857,31.615853658536587,6296.254237288135,4246.593220338983,128.32203389830508,33.46875,29.82758620689655,26.21212121212121,371479.0,250549.0,7571.0,348,171.10882997512812,719.9683908045977,21.75574712643678
convnet_L3_F256_K4x4_W90,3,24251658,18074680330,ConvNet,90,1777.7758620689656,445.0,0.0,2.668103448275862,96.91379310344828,11.741379310344827,25.0,50.0,41.58108108108108,31.621951219512194,6333.017241379311,4397.672413793103,126.15517241379312,33.714285714285715,29.766666666666666,26.060606060606062,367315.0,255065.0,7317.0,290,205.9255480766296,879.5344827586207,25.23103448275862
convnet_L3_F256_K4x4_W100,3,29269258,22194227210,ConvNet,100,1800.0,446.0,0.0,2.48728813559322,98.98305084745763,17.915254237288135,25.0,50.0,41.91379310344828,31.92934782608696,6458.4915254237285,4340.983050847458,153.76271186440678,34.083333333333336,29.96296296296296,26.607142857142858,381051.0,256118.0,9072.0,229,261.5579319000244,1118.419213973799,39.61572052401747
convnet_L3_F512_K2x2_W70,3,34058762,12674314250,ConvNet,70,2056.0169491525426,445.0,0.0,3.75,96.1186440677966,22.1864406779661,25.0,50.0,40.63333333333333,31.087209302325583,6280.627118644068,4163.728813559322,128.28813559322035,33.130434782608695,29.5,26.0,370557.0,245660.0,7569.0,305,195.8711576461792,805.4426229508197,24.81639344262295
convnet_L3_F512_K2x2_W80,3,42660362,16155289610,ConvNet,80,2090.830508474576,444.0,0.0,3.6228813559322033,93.77966101694916,22.491525423728813,25.0,50.0,40.625,31.00581395348837,6397.864406779661,4229.8983050847455,127.47457627118644,33.0,29.6,25.933333333333334,377474.0,249564.0,7521.0,242,247.046091556549,1031.2561983471073,31.078512396694215
convnet_L3_F512_K2x2_W90,3,52285962,20058255370,ConvNet,90,2136.0,444.0,0.0,2.343220338983051,96.98305084745763,23.271186440677965,25.0,50.0,40.6578947368421,30.93877551020408,6401.338983050848,4260.728813559322,126.05084745762711,32.9,29.45833333333333,25.870967741935484,377679.0,251383.0,7437.0,197,303.8893151283264,1276.0558375634519,37.75126903553299
