Model Name,Layers,Total Parameters,Total MACs,Network Type,Input Size,Avrg_RAM,Avrg_SWAP,Avrg_IRAM,Avrg_CPU,Avrg_GPU,Avrg_EMC_FREQ,Avrg_APE,Avrg_PMIC,Avrg_AO,Avrg_THERMAL,Avrg_POM_5V_IN,Avrg_POM_5V_GPU,Avrg_POM_5V_CPU,Avrg_GPU_TEMP,Avrg_PLL,Avrg_CPU_TEMP,Total_POM_5V_IN,Total_POM_5V_GPU,Total_POM_5V_CPU,num_inferences,average_latency(ms),GPU_energy_per_inference,CPU_energy_per_inference
convnet_L9_F128_K2x2_W100,9,21172106,7192785290,ConvNet,100,2023.0,323.0,0.0,7.076271186440678,92.83050847457628,23.305084745762716,25.0,50.0,40.25757575757576,31.09659090909091,5858.372881355932,3682.271186440678,167.42372881355934,29.90322580645161,26.55172413793104,32.55882352941177,345644.0,217254.0,9878.0,485,122.8939270973205,447.9463917525773,20.36701030927835
convnet_L9_F128_K4x4_W30,9,4051338,2663216010,ConvNet,30,1686.084745762712,323.0,0.0,10.194915254237287,87.38983050847457,12.610169491525424,25.0,50.0,42.0,32.38725490196079,5927.322033898305,4001.0338983050847,166.20338983050848,30.892857142857142,27.166666666666668,34.06060606060606,349712.0,236061.0,9806.0,1683,37.223451137542696,140.2620320855615,5.826500297088533
convnet_L9_F128_K4x4_W40,9,5177738,4368380810,ConvNet,40,1692.0,323.0,0.0,7.690677966101695,90.77966101694916,13.559322033898304,25.0,50.0,42.25757575757576,32.34239130434783,6226.576271186441,4264.864406779661,158.3050847457627,30.666666666666668,27.03333333333333,34.06060606060606,367368.0,251627.0,9340.0,1107,53.4461379051208,227.30532971996388,8.437217705510388
convnet_L9_F128_K4x4_W50,9,6560138,6494691210,ConvNet,50,1698.0,323.0,0.0,5.529661016949152,87.69491525423729,14.542372881355933,25.0,50.0,42.16666666666666,32.359375,6258.237288135593,4306.949152542373,141.38983050847455,30.689655172413797,27.07692307692308,34.27777777777778,369236.0,254110.0,8342.0,775,77.81504869461051,327.8838709677419,10.763870967741935
convnet_L9_F128_K4x4_W60,9,8198538,9042147210,ConvNet,60,1708.0,323.0,0.0,4.932203389830509,93.61016949152544,14.610169491525424,25.0,50.0,42.5,32.42777777777778,6408.593220338983,4416.254237288135,130.8135593220339,30.685714285714287,27.257142857142856,34.256410256410255,378107.0,260559.0,7718.0,567,105.5354738235473,459.53968253968253,13.611992945326278
convnet_L9_F256_K1x1_W60,9,16102410,2683824138,ConvNet,60,1987.0,323.0,0.0,8.741525423728813,90.9322033898305,42.76271186440678,25.0,50.0,38.0,30.180232558139537,5656.406779661017,2957.0338983050847,194.3728813559322,29.041666666666668,26.041666666666668,31.20833333333333,333728.0,174465.0,11468.0,825,72.1735525131225,211.47272727272727,13.90060606060606
convnet_L9_F256_K1x1_W70,9,20352010,3489476618,ConvNet,70,2004.0,323.0,0.0,7.978813559322034,86.96610169491525,43.61016949152543,25.0,50.0,37.67142857142857,30.12162162162162,5329.813559322034,2692.4745762711864,184.0169491525424,28.96296296296296,26.0,30.84210526315789,314459.0,158856.0,10857.0,652,92.54670858383179,243.64417177914112,16.651840490797547
convnet_L9_F256_K1x1_W80,9,25113610,4401113098,ConvNet,80,2027.169491525424,323.0,0.0,7.843220338983051,94.38983050847456,33.0,25.0,50.0,38.56060606060606,30.20212765957447,5560.474576271186,3186.2033898305085,179.6949152542373,29.285714285714285,26.0,31.44,328068.0,187986.0,10602.0,561,106.4790558815002,335.09090909090907,18.898395721925134
convnet_L9_F256_K1x1_W90,9,30387210,5418733578,ConvNet,90,2050.0689655172414,323.0,0.0,6.814655172413793,94.60344827586206,32.96551724137931,25.0,50.0,38.46969696969697,30.02717391304348,5567.637931034483,3187.103448275862,162.89655172413794,28.954545454545453,26.0,31.32258064516129,322923.0,184852.0,9448.0,460,130.2043080329895,401.8521739130435,20.53913043478261
convnet_L9_F256_K1x1_W100,9,36172810,6542338058,ConvNet,100,2078.0,323.0,0.0,5.97457627118644,95.40677966101696,34.898305084745765,25.0,50.0,38.94117647058823,30.44736842105263,5584.3050847457625,3177.745762711864,148.91525423728814,29.363636363636363,26.15625,31.76923076923077,329474.0,187487.0,8786.0,371,161.6323113441467,505.355795148248,23.681940700808624
convnet_L9_F256_K3x3_W30,9,7031818,4257331210,ConvNet,30,1731.0677966101696,322.0,0.0,10.203389830508474,82.13559322033899,47.83050847457627,25.0,50.0,41.70588235294117,32.203947368421055,7062.186440677966,4357.3050847457625,182.83050847457628,30.807692307692307,27.57575757575757,33.793103448275865,416669.0,257081.0,10787.0,1711,34.4738507270813,150.2518994739918,6.304500292226768
convnet_L9_F256_K3x3_W40,9,8823818,7568588810,ConvNet,40,1738.6101694915253,322.0,0.0,7.088983050847458,91.35593220338984,53.42372881355932,25.0,50.0,42.7258064516129,33.175,7386.847457627118,4609.830508474576,152.84745762711864,31.75,28.464285714285715,34.724137931034484,435824.0,271980.0,9018.0,989,61.7113399505615,275.005055611729,9.11830131445905
convnet_L9_F256_K2x2_W20,9,7757578,2903261962,ConvNet,20,1947.0169491525423,323.0,0.0,9.063559322033898,87.20338983050847,17.677966101694917,25.0,50.0,39.625,30.74342105263158,5627.220338983051,3567.0677966101694,191.6779661016949,29.384615384615383,26.0,32.130434782608695,332006.0,210457.0,11309.0,1136,51.7546916007995,185.26144366197184,9.955105633802816
convnet_L9_F256_K2x2_W30,9,10419978,4650124042,ConvNet,30,1958.0,323.0,0.0,8.173728813559322,95.05084745762711,24.610169491525426,25.0,50.0,39.97368421052632,31.21808510638298,6085.661016949152,3839.576271186441,174.77966101694915,29.863636363636363,26.53333333333333,32.92307692307692,359054.0,226535.0,10312.0,761,77.73250818252559,297.68068331143235,13.550591327201051
convnet_L9_F256_K2x2_W40,9,13594378,6818003722,ConvNet,40,1970.0,323.0,0.0,7.25,90.0677966101695,24.47457627118644,25.0,50.0,40.46551724137931,31.30434782608696,6068.864406779661,3875.9830508474574,153.72881355932202,29.966666666666665,26.7,32.888888888888886,358063.0,228683.0,9070.0,555,109.3470501899719,412.04144144144146,16.34234234234234
