RAM 1812/3964MB (lfb 93x4MB) SWAP 366/1982MB (cached 24MB) IRAM 0/252kB(lfb 252kB) CPU [4%@518,0%@518,1%@518,3%@518] EMC_FREQ 14%@1600 GR3D_FREQ 99%@921 APE 25 PLL@28C CPU@35.5C PMIC@50C GPU@31.5C AO@43.5C thermal@33.75C POM_5V_IN 6829/6720 POM_5V_GPU 4899/4674 POM_5V_CPU 163/154
RAM 1812/3964MB (lfb 93x4MB) SWAP 366/1982MB (cached 24MB) IRAM 0/252kB(lfb 252kB) CPU [4%@307,0%@307,0%@307,4%@307] EMC_FREQ 14%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27.5C CPU@35.5C PMIC@50C GPU@31C AO@43C thermal@33.5C POM_5V_IN 6409/6713 POM_5V_GPU 4348/4666 POM_5V_CPU 164/155
RAM 1812/3964MB (lfb 93x4MB) SWAP 366/1982MB (cached 24MB) IRAM 0/252kB(lfb 252kB) CPU [7%@307,1%@307,1%@307,4%@307] EMC_FREQ 14%@1600 GR3D_FREQ 99%@921 APE 25 PLL@28C CPU@36C PMIC@50C GPU@31.5C AO@44C thermal@33.5C POM_5V_IN 6900/6717 POM_5V_GPU 4932/4672 POM_5V_CPU 163/155
RAM 1812/3964MB (lfb 93x4MB) SWAP 366/1982MB (cached 24MB) IRAM 0/252kB(lfb 252kB) CPU [3%@518,0%@518,1%@518,3%@518] EMC_FREQ 14%@1600 GR3D_FREQ 99%@921 APE 25 PLL@28C CPU@35.5C PMIC@50C GPU@31.5C AO@43.5C thermal@33.5C POM_5V_IN 6717/6717 POM_5V_GPU 4743/4674 POM_5V_CPU 122/154
RAM 1812/3964MB (lfb 93x4MB) SWAP 366/1982MB (cached 24MB) IRAM 0/252kB(lfb 252kB) CPU [1%@307,1%@307,1%@307,3%@307] EMC_FREQ 14%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27.5C CPU@36C PMIC@50C GPU@31.5C AO@43.5C thermal@33.25C POM_5V_IN 6900/6721 POM_5V_GPU 4973/4681 POM_5V_CPU 163/154
RAM 1812/3964MB (lfb 93x4MB) SWAP 366/1982MB (cached 24MB) IRAM 0/252kB(lfb 252kB) CPU [4%@307,0%@307,1%@307,3%@307] EMC_FREQ 14%@1600 GR3D_FREQ 99%@921 APE 25 PLL@28C CPU@36C PMIC@50C GPU@31.5C AO@43.5C thermal@32.5C POM_5V_IN 6829/6724 POM_5V_GPU 4859/4685 POM_5V_CPU 163/154
RAM 1812/3964MB (lfb 93x4MB) SWAP 366/1982MB (cached 24MB) IRAM 0/252kB(lfb 252kB) CPU [3%@307,0%@307,1%@307,3%@307] EMC_FREQ 14%@1600 GR3D_FREQ 69%@921 APE 25 PLL@28C CPU@35C PMIC@50C GPU@31C AO@42.5C thermal@33.75C POM_5V_IN 6213/6713 POM_5V_GPU 4067/4671 POM_5V_CPU 164/155
RAM 1812/3964MB (lfb 93x4MB) SWAP 366/1982MB (cached 24MB) IRAM 0/252kB(lfb 252kB) CPU [5%@307,2%@307,0%@307,4%@307] EMC_FREQ 14%@1600 GR3D_FREQ 99%@921 APE 25 PLL@28.5C CPU@36.5C PMIC@50C GPU@32C AO@44C thermal@33.75C POM_5V_IN 6859/6716 POM_5V_GPU 4940/4677 POM_5V_CPU 163/155
RAM 1812/3964MB (lfb 93x4MB) SWAP 366/1982MB (cached 24MB) IRAM 0/252kB(lfb 252kB) CPU [4%@307,0%@307,1%@307,3%@307] EMC_FREQ 14%@1600 GR3D_FREQ 99%@921 APE 25 PLL@28C CPU@36C PMIC@50C GPU@31C AO@44C thermal@33.75C POM_5V_IN 6635/6714 POM_5V_GPU 4662/4677 POM_5V_CPU 163/155
RAM 1812/3964MB (lfb 93x4MB) SWAP 366/1982MB (cached 24MB) IRAM 0/252kB(lfb 252kB) CPU [6%@307,0%@307,0%@307,3%@307] EMC_FREQ 14%@1600 GR3D_FREQ 99%@921 APE 25 PLL@28C CPU@36C PMIC@50C GPU@31.5C AO@44C thermal@34C POM_5V_IN 6900/6718 POM_5V_GPU 4973/4683 POM_5V_CPU 163/155
RAM 1812/3964MB (lfb 93x4MB) SWAP 366/1982MB (cached 24MB) IRAM 0/252kB(lfb 252kB) CPU [7%@307,3%@307,1%@307,4%@307] EMC_FREQ 14%@1600 GR3D_FREQ 99%@921 APE 25 PLL@28C CPU@36C PMIC@50C GPU@31.5C AO@44C thermal@33.75C POM_5V_IN 6747/6718 POM_5V_GPU 4818/4685 POM_5V_CPU 122/154
RAM 1812/3964MB (lfb 93x4MB) SWAP 366/1982MB (cached 24MB) IRAM 0/252kB(lfb 252kB) CPU [4%@307,0%@307,0%@307,4%@307] EMC_FREQ 14%@1600 GR3D_FREQ 99%@921 APE 25 PLL@28.5C CPU@33.5C PMIC@50C GPU@31C AO@41C thermal@33.75C POM_5V_IN 6141/6707 POM_5V_GPU 3709/4666 POM_5V_CPU 164/155
RAM 1812/3964MB (lfb 93x4MB) SWAP 366/1982MB (cached 24MB) IRAM 0/252kB(lfb 252kB) CPU [4%@307,1%@307,1%@307,3%@307] EMC_FREQ 14%@1600 GR3D_FREQ 99%@921 APE 25 PLL@28.5C CPU@36C PMIC@50C GPU@31.5C AO@44C thermal@33.25C POM_5V_IN 6870/6710 POM_5V_GPU 4940/4671 POM_5V_CPU 163/155
RAM 1813/3964MB (lfb 93x4MB) SWAP 366/1982MB (cached 24MB) IRAM 0/252kB(lfb 252kB) CPU [1%@307,2%@307,1%@307,5%@307] EMC_FREQ 14%@1600 GR3D_FREQ 99%@921 APE 25 PLL@28.5C CPU@36C PMIC@50C GPU@31C AO@43.5C thermal@32.25C POM_5V_IN 6522/6707 POM_5V_GPU 4505/4668 POM_5V_CPU 163/155
RAM 1813/3964MB (lfb 93x4MB) SWAP 366/1982MB (cached 24MB) IRAM 0/252kB(lfb 252kB) CPU [1%@307,0%@307,0%@307,4%@307] EMC_FREQ 14%@1600 GR3D_FREQ 99%@921 APE 25 PLL@28C CPU@36.5C PMIC@50C GPU@32C AO@44C thermal@33.75C POM_5V_IN 6900/6710 POM_5V_GPU 4973/4674 POM_5V_CPU 163/155
RAM 1813/3964MB (lfb 93x4MB) SWAP 366/1982MB (cached 24MB) IRAM 0/252kB(lfb 252kB) CPU [6%@307,1%@307,1%@307,3%@307] EMC_FREQ 14%@1600 GR3D_FREQ 99%@921 APE 25 PLL@28C CPU@36C PMIC@50C GPU@31.5C AO@43.5C thermal@33.75C POM_5V_IN 6788/6712 POM_5V_GPU 4777/4676 POM_5V_CPU 163/155
RAM 1813/3964MB (lfb 93x4MB) SWAP 366/1982MB (cached 24MB) IRAM 0/252kB(lfb 252kB) CPU [1%@307,0%@307,1%@307,3%@307] EMC_FREQ 14%@1600 GR3D_FREQ 99%@921 APE 25 PLL@28C CPU@36C PMIC@50C GPU@32C AO@44C thermal@33.75C POM_5V_IN 6900/6715 POM_5V_GPU 4973/4681 POM_5V_CPU 163/155
RAM 1813/3964MB (lfb 93x4MB) SWAP 366/1982MB (cached 24MB) IRAM 0/252kB(lfb 252kB) CPU [5%@307,1%@307,1%@307,4%@307] EMC_FREQ 14%@1600 GR3D_FREQ 99%@921 APE 25 PLL@28C CPU@36C PMIC@50C GPU@32C AO@44C thermal@33.75C POM_5V_IN 6829/6717 POM_5V_GPU 4899/4685 POM_5V_CPU 163/155
RAM 1813/3964MB (lfb 93x4MB) SWAP 366/1982MB (cached 24MB) IRAM 0/252kB(lfb 252kB) CPU [6%@307,1%@307,2%@307,4%@307] EMC_FREQ 14%@1600 GR3D_FREQ 86%@921 APE 25 PLL@28C CPU@35.5C PMIC@50C GPU@31.5C AO@43C thermal@34C POM_5V_IN 6255/6709 POM_5V_GPU 4149/4676 POM_5V_CPU 164/156
RAM 1813/3964MB (lfb 93x4MB) SWAP 366/1982MB (cached 24MB) IRAM 0/252kB(lfb 252kB) CPU [1%@307,1%@307,1%@307,3%@307] EMC_FREQ 14%@1600 GR3D_FREQ 99%@921 APE 25 PLL@28C CPU@36.5C PMIC@50C GPU@32C AO@44.5C thermal@33.75C POM_5V_IN 6859/6711 POM_5V_GPU 4940/4680 POM_5V_CPU 163/156
