RAM 1867/3964MB (lfb 58x4MB) SWAP 321/1982MB (cached 23MB) IRAM 0/252kB(lfb 252kB) CPU [4%@102,0%@102,2%@102,0%@102] EMC_FREQ 16%@1600 GR3D_FREQ 99%@921 APE 25 PLL@28.5C CPU@36.5C PMIC@50C GPU@32C AO@45C thermal@34.75C POM_5V_IN 6971/6799 POM_5V_GPU 4965/4726 POM_5V_CPU 122/122
RAM 1867/3964MB (lfb 58x4MB) SWAP 321/1982MB (cached 23MB) IRAM 0/252kB(lfb 252kB) CPU [3%@204,0%@204,3%@204,0%@204] EMC_FREQ 16%@1600 GR3D_FREQ 99%@921 APE 25 PLL@28.5C CPU@36.5C PMIC@50C GPU@32C AO@44.5C thermal@34.5C POM_5V_IN 6676/6797 POM_5V_GPU 4703/4726 POM_5V_CPU 122/122
RAM 1867/3964MB (lfb 58x4MB) SWAP 321/1982MB (cached 23MB) IRAM 0/252kB(lfb 252kB) CPU [2%@204,0%@204,2%@204,1%@204] EMC_FREQ 16%@1600 GR3D_FREQ 99%@921 APE 25 PLL@28.5C CPU@36C PMIC@50C GPU@32C AO@43.5C thermal@32.75C POM_5V_IN 5944/6778 POM_5V_GPU 4032/4711 POM_5V_CPU 123/122
RAM 1867/3964MB (lfb 58x4MB) SWAP 321/1982MB (cached 23MB) IRAM 0/252kB(lfb 252kB) CPU [4%@102,1%@102,3%@102,0%@204] EMC_FREQ 16%@1600 GR3D_FREQ 99%@921 APE 25 PLL@28.5C CPU@34C PMIC@50C GPU@31.5C AO@41.5C thermal@34C POM_5V_IN 5007/6740 POM_5V_GPU 2995/4674 POM_5V_CPU 124/122
RAM 1867/3964MB (lfb 58x4MB) SWAP 321/1982MB (cached 23MB) IRAM 0/252kB(lfb 252kB) CPU [2%@102,0%@102,2%@102,1%@102] EMC_FREQ 16%@1600 GR3D_FREQ 99%@921 APE 25 PLL@28.5C CPU@35C PMIC@50C GPU@32C AO@42.5C thermal@34.5C POM_5V_IN 6532/6736 POM_5V_GPU 4190/4664 POM_5V_CPU 123/122
RAM 1867/3964MB (lfb 58x4MB) SWAP 321/1982MB (cached 23MB) IRAM 0/252kB(lfb 252kB) CPU [2%@102,0%@102,1%@102,0%@102] EMC_FREQ 16%@1600 GR3D_FREQ 99%@921 APE 25 PLL@28.5C CPU@37C PMIC@50C GPU@32.5C AO@45C thermal@34.25C POM_5V_IN 7274/6747 POM_5V_GPU 5201/4675 POM_5V_CPU 121/122
RAM 1867/3964MB (lfb 58x4MB) SWAP 321/1982MB (cached 23MB) IRAM 0/252kB(lfb 252kB) CPU [5%@102,0%@102,1%@102,0%@102] EMC_FREQ 16%@1600 GR3D_FREQ 99%@921 APE 25 PLL@29C CPU@37C PMIC@50C GPU@32.5C AO@45C thermal@34.25C POM_5V_IN 7245/6757 POM_5V_GPU 5201/4685 POM_5V_CPU 121/122
RAM 1867/3964MB (lfb 58x4MB) SWAP 321/1982MB (cached 23MB) IRAM 0/252kB(lfb 252kB) CPU [2%@102,0%@102,1%@102,0%@102] EMC_FREQ 17%@1600 GR3D_FREQ 99%@921 APE 25 PLL@29C CPU@37C PMIC@50C GPU@32.5C AO@45C thermal@34.75C POM_5V_IN 7315/6768 POM_5V_GPU 5193/4695 POM_5V_CPU 162/122
RAM 1867/3964MB (lfb 58x4MB) SWAP 321/1982MB (cached 23MB) IRAM 0/252kB(lfb 252kB) CPU [1%@204,2%@204,3%@204,0%@204] EMC_FREQ 17%@1600 GR3D_FREQ 99%@921 APE 25 PLL@29C CPU@37C PMIC@50C GPU@32.5C AO@45.5C thermal@34C POM_5V_IN 7315/6778 POM_5V_GPU 5112/4703 POM_5V_CPU 162/123
RAM 1867/3964MB (lfb 58x4MB) SWAP 321/1982MB (cached 23MB) IRAM 0/252kB(lfb 252kB) CPU [2%@204,2%@204,4%@204,1%@204] EMC_FREQ 17%@1600 GR3D_FREQ 99%@921 APE 25 PLL@29C CPU@37C PMIC@50C GPU@32.5C AO@45C thermal@32.5C POM_5V_IN 7123/6785 POM_5V_GPU 4998/4709 POM_5V_CPU 162/124
RAM 1867/3964MB (lfb 58x4MB) SWAP 321/1982MB (cached 23MB) IRAM 0/252kB(lfb 252kB) CPU [3%@307,2%@307,2%@307,0%@307] EMC_FREQ 17%@1600 GR3D_FREQ 99%@921 APE 25 PLL@29C CPU@36.5C PMIC@50C GPU@32.5C AO@44.5C thermal@34.25C POM_5V_IN 6706/6783 POM_5V_GPU 4736/4709 POM_5V_CPU 163/125
RAM 1867/3964MB (lfb 58x4MB) SWAP 321/1982MB (cached 23MB) IRAM 0/252kB(lfb 252kB) CPU [0%@403,1%@403,3%@403,1%@403] EMC_FREQ 16%@1600 GR3D_FREQ 99%@921 APE 25 PLL@28.5C CPU@35.5C PMIC@50C GPU@32C AO@43.5C thermal@34.75C POM_5V_IN 5944/6768 POM_5V_GPU 3956/4696 POM_5V_CPU 164/125
RAM 1867/3964MB (lfb 58x4MB) SWAP 321/1982MB (cached 23MB) IRAM 0/252kB(lfb 252kB) CPU [1%@403,1%@403,5%@403,3%@403] EMC_FREQ 16%@1600 GR3D_FREQ 99%@921 APE 25 PLL@29C CPU@33.5C PMIC@50C GPU@32C AO@41.5C thermal@34.75C POM_5V_IN 5200/6740 POM_5V_GPU 3036/4666 POM_5V_CPU 166/126
RAM 1867/3964MB (lfb 58x4MB) SWAP 321/1982MB (cached 23MB) IRAM 0/252kB(lfb 252kB) CPU [2%@403,1%@403,0%@403,0%@403] EMC_FREQ 16%@1600 GR3D_FREQ 99%@921 APE 25 PLL@29C CPU@36.5C PMIC@50C GPU@32.5C AO@44C thermal@34.75C POM_5V_IN 7286/6750 POM_5V_GPU 4851/4669 POM_5V_CPU 163/127
RAM 1867/3964MB (lfb 58x4MB) SWAP 321/1982MB (cached 23MB) IRAM 0/252kB(lfb 252kB) CPU [1%@403,3%@403,4%@403,1%@403] EMC_FREQ 16%@1600 GR3D_FREQ 99%@921 APE 25 PLL@29C CPU@37C PMIC@50C GPU@32.5C AO@45.5C thermal@32.75C POM_5V_IN 7315/6759 POM_5V_GPU 5201/4678 POM_5V_CPU 162/127
RAM 1867/3964MB (lfb 58x4MB) SWAP 321/1982MB (cached 23MB) IRAM 0/252kB(lfb 252kB) CPU [1%@518,3%@518,2%@518,0%@518] EMC_FREQ 16%@1600 GR3D_FREQ 99%@921 APE 25 PLL@29C CPU@37.5C PMIC@50C GPU@32.5C AO@45.5C thermal@34.5C POM_5V_IN 7245/6768 POM_5V_GPU 5201/4687 POM_5V_CPU 162/128
