Model Name,Layers,Total Parameters,Total MACs,Network Type,Input Size,Avrg_RAM,Avrg_SWAP,Avrg_IRAM,Avrg_CPU,Avrg_GPU,Avrg_EMC_FREQ,Avrg_APE,Avrg_PLL,Avrg_PMIC,Avrg_THERMAL,Avrg_POM_5V_IN,Avrg_POM_5V_GPU,Avrg_POM_5V_CPU,Avrg_CPU_TEMP,Avrg_GPU_TEMP,Avrg_AO,Total_POM_5V_IN,Total_POM_5V_GPU,Total_POM_5V_CPU,num_inferences,average_latency(ms),GPU_energy_per_inference,CPU_energy_per_inference
convnet_L2_F256_K3x3_1_K7x7_1_W80,2,18005258,18610401290,ConvNet,80,1666.033898305085,214.0,0.0,2.0847457627118646,94.135593220339,15.66101694915254,25.0,26.86111111111111,50.0,32.33695652173913,6723.067796610169,4684.271186440678,132.94915254237287,34.6,30.571428571428573,42.56060606060606,396661.0,276372.0,7844.0,278,214.40421342849731,994.1438848920864,28.215827338129497
convnet_L2_F256_K3x3_1_K7x7_1_W85,2,20014858,21139367690,ConvNet,85,1674.033898305085,214.0,0.0,1.978813559322034,95.15254237288136,15.864406779661016,25.0,27.096774193548388,50.0,32.68333333333333,6689.932203389831,4662.389830508475,129.40677966101694,34.80769230769231,30.65625,42.66666666666666,394706.0,275081.0,7635.0,244,244.9824357032776,1127.3811475409836,31.290983606557376
convnet_L2_F256_K3x3_1_K7x7_1_W90,2,22152458,23829396490,ConvNet,90,1683.2372881355932,214.0,0.0,1.8516949152542368,96.76271186440678,11.576271186440678,25.0,27.55555555555556,50.0,32.9390243902439,6691.271186440678,4767.983050847458,122.3728813559322,35.225806451612904,31.03703703703704,43.27777777777778,394785.0,281311.0,7220.0,226,264.6742439270019,1244.7389380530974,31.946902654867255
convnet_L2_F256_K3x3_1_K7x7_1_W95,2,24418058,26680487690,ConvNet,95,1701.0169491525423,214.0,0.0,1.5847457627118644,96.44067796610167,12.186440677966102,25.0,27.633333333333333,50.0,33.31976744186046,6777.016949152542,4844.610169491525,125.79661016949152,35.57575757575758,31.235294117647054,43.34848484848485,399844.0,285832.0,7422.0,202,296.1366581916809,1415.009900990099,36.742574257425744
convnet_L2_F256_K3x3_1_K7x7_1_W100,2,26811658,29692641290,ConvNet,100,1707.677966101695,214.0,0.0,1.4661016949152543,97.08474576271186,15.66101694915254,25.0,26.78125,50.0,32.19375,6682.4915254237285,4634.474576271186,123.1186440677966,34.27272727272727,30.5,42.20967741935484,394267.0,273434.0,7264.0,174,343.0146741867065,1571.4597701149426,41.747126436781606
convnet_L2_F256_K4x4_1_K5x5_1_W30,2,3804170,1392317450,ConvNet,30,1599.0,214.0,0.0,10.258474576271189,79.59322033898304,14.508474576271189,25.0,26.0,50.0,30.7122641509434,5325.389830508475,3374.627118644068,155.45762711864407,32.53333333333333,29.0,39.588235294117645,314198.0,199103.0,9172.0,2621,22.564146518707197,75.96451735978634,3.4994276993513926
convnet_L2_F256_K4x4_1_K5x5_1_W35,2,4610570,1913502730,ConvNet,35,1602.033898305085,214.0,0.0,8.444915254237289,82.89830508474576,14.932203389830509,25.0,25.68,50.0,30.5,5569.847457627118,3596.762711864407,143.5084745762712,32.407407407407405,28.92,39.59375,328621.0,212209.0,8467.0,2015,37.433423995971594,105.31464019851117,4.201985111662531
convnet_L2_F256_K4x4_1_K5x5_1_W40,2,5544970,2517376010,ConvNet,40,1606.8474576271187,214.0,0.0,7.6525423728813555,84.55932203389831,14.76271186440678,25.0,25.9,50.0,30.877906976744185,5781.35593220339,3845.762711864407,133.20338983050848,32.833333333333336,28.956521739130437,39.7,341100.0,226900.0,7859.0,1665,35.360000133514404,136.27627627627626,4.72012012012012
convnet_L2_F256_K4x4_1_K5x5_1_W45,2,6607370,3203937290,ConvNet,45,1612.050847457627,214.0,0.0,6.173728813559322,85.28813559322033,16.050847457627118,25.0,25.97297297297297,50.0,31.193877551020407,6025.050847457627,4049.5593220338974,142.91525423728814,33.107142857142854,29.392857142857142,40.32051282051282,355478.0,238924.0,8432.0,1331,45.5674481391906,179.50713749060856,6.335086401202104
convnet_L2_F256_K4x4_1_K5x5_1_W50,2,7797770,3973186570,ConvNet,50,1620.0,214.0,0.0,5.737288135593221,90.52542372881356,10.694915254237287,25.0,26.0,50.0,31.16304347826087,5874.135593220339,4012.9830508474574,127.54237288135592,33.206896551724135,29.11764705882353,40.58571428571429,346574.0,236766.0,7525.0,1182,50.590994358062694,200.30964467005077,6.366328257191201
