RAM 1978/3964MB (lfb 68x4MB) SWAP 378/1982MB (cached 23MB) IRAM 0/252kB(lfb 252kB) CPU [3%@102,1%@102,0%@204,4%@204] EMC_FREQ 54%@1600 GR3D_FREQ 99%@921 APE 25 PLL@28.5C CPU@35.5C PMIC@50C GPU@32C AO@44C thermal@34C POM_5V_IN 8346/7729 POM_5V_GPU 5462/4949 POM_5V_CPU 119/123
RAM 1978/3964MB (lfb 68x4MB) SWAP 378/1982MB (cached 23MB) IRAM 0/252kB(lfb 252kB) CPU [6%@102,0%@102,0%@102,2%@102] EMC_FREQ 54%@1600 GR3D_FREQ 99%@921 APE 25 PLL@28.5C CPU@34.5C PMIC@50C GPU@32C AO@42C thermal@32.25C POM_5V_IN 7890/7732 POM_5V_GPU 4878/4948 POM_5V_CPU 121/123
RAM 1978/3964MB (lfb 68x4MB) SWAP 378/1982MB (cached 23MB) IRAM 0/252kB(lfb 252kB) CPU [3%@102,2%@102,2%@102,0%@102] EMC_FREQ 54%@1600 GR3D_FREQ 99%@921 APE 25 PLL@28.5C CPU@34C PMIC@50C GPU@32C AO@41C thermal@33.75C POM_5V_IN 6930/7715 POM_5V_GPU 4036/4928 POM_5V_CPU 122/123
RAM 1978/3964MB (lfb 68x4MB) SWAP 378/1982MB (cached 23MB) IRAM 0/252kB(lfb 252kB) CPU [2%@102,1%@102,0%@204,2%@204] EMC_FREQ 54%@1600 GR3D_FREQ 99%@921 APE 25 PLL@28C CPU@33.5C PMIC@50C GPU@31C AO@41.5C thermal@33C POM_5V_IN 5416/7666 POM_5V_GPU 3297/4893 POM_5V_CPU 123/123
RAM 1978/3964MB (lfb 68x4MB) SWAP 378/1982MB (cached 23MB) IRAM 0/252kB(lfb 252kB) CPU [4%@102,1%@204,0%@204,3%@204] EMC_FREQ 53%@1600 GR3D_FREQ 84%@921 APE 25 PLL@28C CPU@34.5C PMIC@50C GPU@31.5C AO@42.5C thermal@34C POM_5V_IN 6604/7644 POM_5V_GPU 4192/4878 POM_5V_CPU 121/123
RAM 1978/3964MB (lfb 68x4MB) SWAP 378/1982MB (cached 23MB) IRAM 0/252kB(lfb 252kB) CPU [4%@102,1%@102,0%@102,3%@102] EMC_FREQ 53%@1600 GR3D_FREQ 99%@921 APE 25 PLL@28C CPU@35C PMIC@50C GPU@32C AO@43C thermal@33.25C POM_5V_IN 7211/7635 POM_5V_GPU 4651/4874 POM_5V_CPU 121/123
RAM 1978/3964MB (lfb 68x4MB) SWAP 378/1982MB (cached 23MB) IRAM 0/252kB(lfb 252kB) CPU [5%@102,1%@102,0%@102,3%@102] EMC_FREQ 53%@1600 GR3D_FREQ 99%@921 APE 25 PLL@28C CPU@35.5C PMIC@50C GPU@32C AO@43C thermal@33.25C POM_5V_IN 7361/7629 POM_5V_GPU 4724/4871 POM_5V_CPU 121/123
RAM 1978/3964MB (lfb 68x4MB) SWAP 378/1982MB (cached 23MB) IRAM 0/252kB(lfb 252kB) CPU [4%@102,2%@102,0%@102,3%@102] EMC_FREQ 54%@1600 GR3D_FREQ 99%@921 APE 25 PLL@28C CPU@35.5C PMIC@50C GPU@32C AO@44C thermal@33.5C POM_5V_IN 7511/7627 POM_5V_GPU 4870/4871 POM_5V_CPU 120/123
RAM 1978/3964MB (lfb 68x4MB) SWAP 378/1982MB (cached 23MB) IRAM 0/252kB(lfb 252kB) CPU [4%@102,0%@102,0%@102,3%@102] EMC_FREQ 54%@1600 GR3D_FREQ 99%@921 APE 25 PLL@28C CPU@36C PMIC@50C GPU@32.5C AO@44C thermal@33.5C POM_5V_IN 7945/7633 POM_5V_GPU 5208/4877 POM_5V_CPU 120/123
RAM 1978/3964MB (lfb 68x4MB) SWAP 378/1982MB (cached 23MB) IRAM 0/252kB(lfb 252kB) CPU [4%@102,2%@102,0%@102,3%@102] EMC_FREQ 53%@1600 GR3D_FREQ 99%@921 APE 25 PLL@28C CPU@36C PMIC@50C GPU@32C AO@44C thermal@33C POM_5V_IN 8092/7642 POM_5V_GPU 5320/4886 POM_5V_CPU 120/123
RAM 1978/3964MB (lfb 68x4MB) SWAP 378/1982MB (cached 23MB) IRAM 0/252kB(lfb 252kB) CPU [2%@204,3%@204,0%@204,2%@204] EMC_FREQ 54%@1600 GR3D_FREQ 99%@921 APE 25 PLL@28C CPU@35.5C PMIC@50C GPU@32.5C AO@43.5C thermal@34C POM_5V_IN 8025/7649 POM_5V_GPU 5128/4890 POM_5V_CPU 120/123
RAM 1978/3964MB (lfb 68x4MB) SWAP 378/1982MB (cached 23MB) IRAM 0/252kB(lfb 252kB) CPU [4%@102,1%@102,0%@102,3%@102] EMC_FREQ 54%@1600 GR3D_FREQ 99%@921 APE 25 PLL@28.5C CPU@36C PMIC@50C GPU@32.5C AO@45C thermal@32.5C POM_5V_IN 8200/7659 POM_5V_GPU 5391/4899 POM_5V_CPU 120/123
RAM 1978/3964MB (lfb 68x4MB) SWAP 378/1982MB (cached 23MB) IRAM 0/252kB(lfb 252kB) CPU [3%@102,2%@102,0%@102,4%@102] EMC_FREQ 54%@1600 GR3D_FREQ 99%@921 APE 25 PLL@28.5C CPU@36C PMIC@50C GPU@32.5C AO@44.5C thermal@34.25C POM_5V_IN 8200/7668 POM_5V_GPU 5391/4908 POM_5V_CPU 119/123
RAM 1978/3964MB (lfb 68x4MB) SWAP 378/1982MB (cached 23MB) IRAM 0/252kB(lfb 252kB) CPU [2%@204,1%@204,0%@204,3%@204] EMC_FREQ 54%@1600 GR3D_FREQ 99%@921 APE 25 PLL@28.5C CPU@36C PMIC@50C GPU@32.5C AO@44.5C thermal@32.75C POM_5V_IN 8320/7680 POM_5V_GPU 5471/4918 POM_5V_CPU 119/123
RAM 1978/3964MB (lfb 68x4MB) SWAP 378/1982MB (cached 23MB) IRAM 0/252kB(lfb 252kB) CPU [2%@204,1%@204,2%@204,5%@204] EMC_FREQ 54%@1600 GR3D_FREQ 99%@921 APE 25 PLL@28.5C CPU@36C PMIC@50C GPU@32.5C AO@44.5C thermal@34.25C POM_5V_IN 8320/7691 POM_5V_GPU 5471/4927 POM_5V_CPU 119/123
