RAM 2035/3964MB (lfb 78x4MB) SWAP 372/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [4%@102,3%@102,4%@102,1%@102] EMC_FREQ 28%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27C CPU@34.5C PMIC@50C GPU@30.5C AO@42C thermal@32.75C POM_5V_IN 6676/6646 POM_5V_GPU 4539/4385 POM_5V_CPU 122/124
RAM 2035/3964MB (lfb 78x4MB) SWAP 372/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [4%@102,3%@204,5%@204,3%@204] EMC_FREQ 28%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27C CPU@34.5C PMIC@50C GPU@30.5C AO@42C thermal@31.5C POM_5V_IN 6563/6644 POM_5V_GPU 4423/4386 POM_5V_CPU 122/124
RAM 2035/3964MB (lfb 78x4MB) SWAP 372/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [5%@204,3%@204,6%@204,0%@204] EMC_FREQ 28%@1600 GR3D_FREQ 99%@921 APE 25 PLL@26.5C CPU@34C PMIC@50C GPU@31C AO@42C thermal@32.5C POM_5V_IN 6450/6640 POM_5V_GPU 4266/4384 POM_5V_CPU 123/124
RAM 2035/3964MB (lfb 78x4MB) SWAP 372/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [4%@102,4%@102,4%@102,1%@102] EMC_FREQ 28%@1600 GR3D_FREQ 99%@921 APE 25 PLL@26.5C CPU@34C PMIC@50C GPU@30.5C AO@41C thermal@32.5C POM_5V_IN 6378/6635 POM_5V_GPU 4108/4379 POM_5V_CPU 123/124
RAM 2035/3964MB (lfb 78x4MB) SWAP 372/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [5%@102,6%@102,4%@102,2%@102] EMC_FREQ 28%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27C CPU@34.5C PMIC@50C GPU@30.5C AO@41C thermal@32.25C POM_5V_IN 6327/6630 POM_5V_GPU 4149/4374 POM_5V_CPU 123/124
RAM 2035/3964MB (lfb 78x4MB) SWAP 372/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [3%@102,6%@102,4%@102,0%@102] EMC_FREQ 28%@1600 GR3D_FREQ 57%@921 APE 25 PLL@27C CPU@33C PMIC@50C GPU@30.5C AO@41.5C thermal@32.75C POM_5V_IN 6058/6619 POM_5V_GPU 3868/4365 POM_5V_CPU 123/124
RAM 2035/3964MB (lfb 78x4MB) SWAP 372/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [4%@204,3%@204,6%@204,0%@204] EMC_FREQ 28%@1600 GR3D_FREQ 58%@921 APE 25 PLL@27C CPU@32.5C PMIC@50C GPU@30.5C AO@40.5C thermal@32.75C POM_5V_IN 5912/6607 POM_5V_GPU 3591/4351 POM_5V_CPU 164/124
RAM 2035/3964MB (lfb 78x4MB) SWAP 372/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [4%@307,3%@307,5%@307,1%@307] EMC_FREQ 28%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27C CPU@32.5C PMIC@50C GPU@30.5C AO@39.5C thermal@32.25C POM_5V_IN 5557/6588 POM_5V_GPU 3188/4331 POM_5V_CPU 165/125
RAM 2035/3964MB (lfb 78x4MB) SWAP 372/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [4%@204,3%@204,5%@204,0%@204] EMC_FREQ 28%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27C CPU@33C PMIC@50C GPU@31C AO@39C thermal@32.75C POM_5V_IN 6026/6578 POM_5V_GPU 3343/4314 POM_5V_CPU 165/126
RAM 2035/3964MB (lfb 78x4MB) SWAP 372/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [4%@102,5%@102,4%@102,0%@102] EMC_FREQ 27%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27C CPU@32.5C PMIC@50C GPU@31C AO@39C thermal@31.75C POM_5V_IN 6182/6572 POM_5V_GPU 3503/4300 POM_5V_CPU 123/126
