RAM 1661/3964MB (lfb 20x4MB) SWAP 214/1982MB (cached 23MB) IRAM 0/252kB(lfb 252kB) CPU [4%@204,16%@204,3%@204,3%@204] EMC_FREQ 56%@1600 GR3D_FREQ 65%@921 APE 25 PLL@25C CPU@31C PMIC@50C GPU@28C AO@37.5C thermal@29.25C POM_5V_IN 5861/5832 POM_5V_GPU 3168/3013 POM_5V_CPU 164/141
RAM 1661/3964MB (lfb 20x4MB) SWAP 214/1982MB (cached 23MB) IRAM 0/252kB(lfb 252kB) CPU [4%@102,17%@102,2%@204,1%@204] EMC_FREQ 56%@1600 GR3D_FREQ 65%@921 APE 25 PLL@25.5C CPU@31.5C PMIC@50C GPU@29C AO@37.5C thermal@29.25C POM_5V_IN 6090/5838 POM_5V_GPU 3369/3021 POM_5V_CPU 123/140
RAM 1661/3964MB (lfb 20x4MB) SWAP 214/1982MB (cached 23MB) IRAM 0/252kB(lfb 252kB) CPU [4%@102,12%@102,5%@102,0%@102] EMC_FREQ 56%@1600 GR3D_FREQ 94%@921 APE 25 PLL@25C CPU@30.5C PMIC@50C GPU@28C AO@36.5C thermal@29.75C POM_5V_IN 5944/5841 POM_5V_GPU 3054/3022 POM_5V_CPU 124/140
RAM 1661/3964MB (lfb 20x4MB) SWAP 214/1982MB (cached 23MB) IRAM 0/252kB(lfb 252kB) CPU [4%@102,3%@102,12%@102,5%@102] EMC_FREQ 55%@1600 GR3D_FREQ 65%@921 APE 25 PLL@25.5C CPU@31C PMIC@50C GPU@28.5C AO@37C thermal@29.5C POM_5V_IN 6141/5848 POM_5V_GPU 3173/3026 POM_5V_CPU 123/140
RAM 1661/3964MB (lfb 20x4MB) SWAP 214/1982MB (cached 23MB) IRAM 0/252kB(lfb 252kB) CPU [7%@102,4%@102,9%@102,7%@102] EMC_FREQ 55%@1600 GR3D_FREQ 80%@921 APE 25 PLL@25.5C CPU@31C PMIC@50C GPU@28.5C AO@36.5C thermal@29.25C POM_5V_IN 5944/5850 POM_5V_GPU 3013/3025 POM_5V_CPU 124/139
RAM 1661/3964MB (lfb 20x4MB) SWAP 214/1982MB (cached 23MB) IRAM 0/252kB(lfb 252kB) CPU [5%@102,5%@102,12%@102,4%@102] EMC_FREQ 55%@1600 GR3D_FREQ 88%@921 APE 25 PLL@25.5C CPU@30.5C PMIC@50C GPU@28.5C AO@36.5C thermal@29.25C POM_5V_IN 5903/5851 POM_5V_GPU 2889/3022 POM_5V_CPU 124/139
RAM 1661/3964MB (lfb 20x4MB) SWAP 214/1982MB (cached 23MB) IRAM 0/252kB(lfb 252kB) CPU [5%@102,14%@102,2%@102,1%@102] EMC_FREQ 56%@1600 GR3D_FREQ 99%@921 APE 25 PLL@25.5C CPU@30.5C PMIC@50C GPU@28.5C AO@37C thermal@29.5C POM_5V_IN 5515/5844 POM_5V_GPU 2728/3016 POM_5V_CPU 123/139
RAM 1661/3964MB (lfb 20x4MB) SWAP 214/1982MB (cached 23MB) IRAM 0/252kB(lfb 252kB) CPU [4%@204,14%@204,5%@204,1%@204] EMC_FREQ 56%@1600 GR3D_FREQ 73%@921 APE 25 PLL@25.5C CPU@30.5C PMIC@50C GPU@28.5C AO@37C thermal@29.5C POM_5V_IN 5465/5836 POM_5V_GPU 2889/3013 POM_5V_CPU 165/139
RAM 1661/3964MB (lfb 20x4MB) SWAP 214/1982MB (cached 23MB) IRAM 0/252kB(lfb 252kB) CPU [4%@204,11%@204,4%@204,2%@204] EMC_FREQ 56%@1600 GR3D_FREQ 99%@921 APE 25 PLL@25.5C CPU@31C PMIC@50C GPU@28.5C AO@38C thermal@29.75C POM_5V_IN 5820/5835 POM_5V_GPU 3168/3016 POM_5V_CPU 123/139
RAM 1661/3964MB (lfb 20x4MB) SWAP 214/1982MB (cached 23MB) IRAM 0/252kB(lfb 252kB) CPU [4%@204,2%@204,11%@204,1%@204] EMC_FREQ 56%@1600 GR3D_FREQ 99%@921 APE 25 PLL@25.5C CPU@31.5C PMIC@50C GPU@28.5C AO@36C thermal@29.75C POM_5V_IN 5861/5836 POM_5V_GPU 2889/3014 POM_5V_CPU 124/138
RAM 1661/3964MB (lfb 20x4MB) SWAP 214/1982MB (cached 23MB) IRAM 0/252kB(lfb 252kB) CPU [6%@102,2%@102,15%@204,0%@204] EMC_FREQ 56%@1600 GR3D_FREQ 88%@921 APE 25 PLL@25.5C CPU@30.5C PMIC@50C GPU@28C AO@36.5C thermal@30C POM_5V_IN 5829/5836 POM_5V_GPU 2852/3011 POM_5V_CPU 124/138
RAM 1661/3964MB (lfb 20x4MB) SWAP 214/1982MB (cached 23MB) IRAM 0/252kB(lfb 252kB) CPU [2%@102,3%@102,14%@102,4%@102] EMC_FREQ 55%@1600 GR3D_FREQ 99%@921 APE 25 PLL@25.5C CPU@30.5C PMIC@50C GPU@28.5C AO@36.5C thermal@30C POM_5V_IN 5788/5835 POM_5V_GPU 2770/3006 POM_5V_CPU 124/138
RAM 1661/3964MB (lfb 20x4MB) SWAP 214/1982MB (cached 23MB) IRAM 0/252kB(lfb 252kB) CPU [5%@204,2%@204,13%@204,4%@204] EMC_FREQ 56%@1600 GR3D_FREQ 99%@921 APE 25 PLL@25.5C CPU@31.5C PMIC@50C GPU@28.5C AO@37.5C thermal@29.5C POM_5V_IN 5548/5829 POM_5V_GPU 2930/3005 POM_5V_CPU 123/138
RAM 1661/3964MB (lfb 20x4MB) SWAP 214/1982MB (cached 23MB) IRAM 0/252kB(lfb 252kB) CPU [5%@204,2%@204,14%@204,3%@204] EMC_FREQ 56%@1600 GR3D_FREQ 68%@921 APE 25 PLL@25.5C CPU@31.5C PMIC@50C GPU@28.5C AO@38C thermal@30C POM_5V_IN 5820/5829 POM_5V_GPU 3168/3008 POM_5V_CPU 123/137
RAM 1661/3964MB (lfb 20x4MB) SWAP 214/1982MB (cached 23MB) IRAM 0/252kB(lfb 252kB) CPU [5%@102,3%@102,9%@102,2%@204] EMC_FREQ 56%@1600 GR3D_FREQ 99%@921 APE 25 PLL@25.5C CPU@30.5C PMIC@50C GPU@28.5C AO@37C thermal@30C POM_5V_IN 5399/5821 POM_5V_GPU 2691/3002 POM_5V_CPU 124/137
RAM 1661/3964MB (lfb 20x4MB) SWAP 214/1982MB (cached 23MB) IRAM 0/252kB(lfb 252kB) CPU [5%@204,2%@204,9%@204,7%@204] EMC_FREQ 56%@1600 GR3D_FREQ 99%@921 APE 25 PLL@25.5C CPU@30.5C PMIC@50C GPU@28.5C AO@37.5C thermal@29.5C POM_5V_IN 5465/5815 POM_5V_GPU 2930/3001 POM_5V_CPU 164/137
RAM 1661/3964MB (lfb 20x4MB) SWAP 214/1982MB (cached 23MB) IRAM 0/252kB(lfb 252kB) CPU [5%@102,2%@102,14%@102,2%@102] EMC_FREQ 56%@1600 GR3D_FREQ 68%@921 APE 25 PLL@25.5C CPU@31.5C PMIC@50C GPU@29C AO@37.5C thermal@30C POM_5V_IN 6090/5820 POM_5V_GPU 3374/3007 POM_5V_CPU 123/137
RAM 1661/3964MB (lfb 20x4MB) SWAP 214/1982MB (cached 23MB) IRAM 0/252kB(lfb 252kB) CPU [3%@102,1%@102,14%@102,1%@102] EMC_FREQ 56%@1600 GR3D_FREQ 99%@921 APE 25 PLL@25.5C CPU@30.5C PMIC@50C GPU@29C AO@37C thermal@30C POM_5V_IN 5870/5821 POM_5V_GPU 2765/3003 POM_5V_CPU 123/137
RAM 1665/3964MB (lfb 20x4MB) SWAP 214/1982MB (cached 23MB) IRAM 0/252kB(lfb 252kB) CPU [4%@1326,3%@1326,21%@1326,1%@1326] EMC_FREQ 55%@1600 GR3D_FREQ 0%@921 APE 25 PLL@25.5C CPU@29C PMIC@50C GPU@28C AO@35C thermal@29.5C POM_5V_IN 3964/5789 POM_5V_GPU 1349/2975 POM_5V_CPU 463/142
