RAM 1635/3964MB (lfb 80x4MB) SWAP 154/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [7%@710,48%@710,6%@710,4%@710] EMC_FREQ 31%@1600 GR3D_FREQ 88%@921 APE 25 PLL@28C CPU@32.5C PMIC@50C GPU@30C AO@39C thermal@31.25C POM_5V_IN 5184/5278 POM_5V_GPU 2650/2658 POM_5V_CPU 372/398
RAM 1635/3964MB (lfb 80x4MB) SWAP 154/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [11%@614,42%@614,7%@614,5%@614] EMC_FREQ 31%@1600 GR3D_FREQ 85%@921 APE 25 PLL@28C CPU@32C PMIC@50C GPU@30C AO@39C thermal@31.25C POM_5V_IN 5258/5278 POM_5V_GPU 2650/2657 POM_5V_CPU 414/399
RAM 1635/3964MB (lfb 80x4MB) SWAP 154/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [6%@614,46%@614,4%@614,7%@614] EMC_FREQ 31%@1600 GR3D_FREQ 89%@921 APE 25 PLL@28C CPU@33C PMIC@50C GPU@30.5C AO@39.5C thermal@31.5C POM_5V_IN 5300/5278 POM_5V_GPU 2604/2656 POM_5V_CPU 414/399
RAM 1635/3964MB (lfb 80x4MB) SWAP 154/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [9%@614,41%@614,9%@614,8%@614] EMC_FREQ 31%@1600 GR3D_FREQ 87%@921 APE 25 PLL@28C CPU@33C PMIC@50C GPU@30.5C AO@39C thermal@31.5C POM_5V_IN 5341/5280 POM_5V_GPU 2728/2658 POM_5V_CPU 414/399
RAM 1635/3964MB (lfb 80x4MB) SWAP 154/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [6%@614,47%@614,5%@614,5%@614] EMC_FREQ 31%@1600 GR3D_FREQ 87%@921 APE 25 PLL@28C CPU@33C PMIC@50C GPU@30C AO@39C thermal@31.5C POM_5V_IN 5300/5281 POM_5V_GPU 2650/2658 POM_5V_CPU 414/400
RAM 1635/3964MB (lfb 80x4MB) SWAP 154/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [13%@614,42%@614,6%@614,4%@614] EMC_FREQ 31%@1600 GR3D_FREQ 86%@921 APE 25 PLL@28C CPU@32.5C PMIC@50C GPU@30C AO@38.5C thermal@31.25C POM_5V_IN 5217/5279 POM_5V_GPU 2691/2658 POM_5V_CPU 372/399
RAM 1635/3964MB (lfb 80x4MB) SWAP 154/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [6%@614,48%@614,7%@614,7%@614] EMC_FREQ 31%@1600 GR3D_FREQ 86%@921 APE 25 PLL@28C CPU@32.5C PMIC@50C GPU@30C AO@38.5C thermal@31.25C POM_5V_IN 5258/5278 POM_5V_GPU 2650/2658 POM_5V_CPU 414/399
RAM 1635/3964MB (lfb 80x4MB) SWAP 154/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [8%@710,42%@710,12%@710,5%@710] EMC_FREQ 31%@1600 GR3D_FREQ 84%@921 APE 25 PLL@28C CPU@32C PMIC@50C GPU@30C AO@38.5C thermal@31.25C POM_5V_IN 5258/5278 POM_5V_GPU 2691/2659 POM_5V_CPU 372/399
RAM 1635/3964MB (lfb 80x4MB) SWAP 154/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [9%@614,42%@614,11%@614,12%@614] EMC_FREQ 31%@1600 GR3D_FREQ 81%@921 APE 25 PLL@28C CPU@32.5C PMIC@50C GPU@30C AO@39.5C thermal@31.25C POM_5V_IN 5225/5277 POM_5V_GPU 2571/2657 POM_5V_CPU 414/399
RAM 1635/3964MB (lfb 80x4MB) SWAP 154/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [5%@710,38%@825,12%@825,12%@825] EMC_FREQ 31%@1600 GR3D_FREQ 85%@921 APE 25 PLL@28C CPU@32.5C PMIC@50C GPU@30C AO@39C thermal@31.5C POM_5V_IN 5300/5277 POM_5V_GPU 2608/2656 POM_5V_CPU 414/399
