RAM 1697/3964MB (lfb 38x4MB) SWAP 116/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [22%@102,6%@102,3%@102,4%@102] EMC_FREQ 21%@1600 GR3D_FREQ 99%@921 APE 25 PLL@24C CPU@28.5C PMIC@50C GPU@26.5C AO@35C thermal@27.25C POM_5V_IN 4464/4847 POM_5V_GPU 2579/2780 POM_5V_CPU 166/164
RAM 1697/3964MB (lfb 38x4MB) SWAP 116/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [19%@204,2%@204,2%@204,3%@204] EMC_FREQ 22%@1600 GR3D_FREQ 99%@921 APE 25 PLL@24C CPU@28.5C PMIC@50C GPU@26C AO@35C thermal@27.75C POM_5V_IN 4942/4849 POM_5V_GPU 2782/2780 POM_5V_CPU 166/164
RAM 1697/3964MB (lfb 38x4MB) SWAP 116/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [11%@102,17%@102,1%@102,4%@102] EMC_FREQ 22%@1600 GR3D_FREQ 99%@921 APE 25 PLL@24C CPU@28C PMIC@50C GPU@26C AO@35.5C thermal@27.5C POM_5V_IN 4749/4847 POM_5V_GPU 2499/2774 POM_5V_CPU 166/164
RAM 1697/3964MB (lfb 38x4MB) SWAP 116/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [7%@102,13%@102,11%@102,5%@102] EMC_FREQ 21%@1600 GR3D_FREQ 99%@921 APE 25 PLL@24C CPU@28C PMIC@50C GPU@27C AO@35.5C thermal@27.75C POM_5V_IN 4506/4839 POM_5V_GPU 2499/2768 POM_5V_CPU 166/164
RAM 1697/3964MB (lfb 38x4MB) SWAP 116/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [6%@204,18%@204,10%@204,6%@204] EMC_FREQ 21%@1600 GR3D_FREQ 99%@921 APE 25 PLL@24C CPU@28.5C PMIC@50C GPU@26.5C AO@35.5C thermal@27.5C POM_5V_IN 4464/4831 POM_5V_GPU 2541/2763 POM_5V_CPU 166/164
RAM 1697/3964MB (lfb 38x4MB) SWAP 116/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [5%@204,23%@204,6%@204,3%@204] EMC_FREQ 21%@1600 GR3D_FREQ 81%@921 APE 25 PLL@24C CPU@28C PMIC@50C GPU@27C AO@36C thermal@27.5C POM_5V_IN 4541/4824 POM_5V_GPU 2620/2760 POM_5V_CPU 207/165
RAM 1697/3964MB (lfb 38x4MB) SWAP 116/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [3%@204,23%@204,2%@204,7%@204] EMC_FREQ 21%@1600 GR3D_FREQ 99%@921 APE 25 PLL@24C CPU@28C PMIC@50C GPU@26.5C AO@35.5C thermal@27.5C POM_5V_IN 4541/4818 POM_5V_GPU 2579/2756 POM_5V_CPU 166/165
RAM 1697/3964MB (lfb 38x4MB) SWAP 116/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [10%@204,24%@204,1%@204,0%@204] EMC_FREQ 21%@1600 GR3D_FREQ 99%@921 APE 25 PLL@24C CPU@28.5C PMIC@50C GPU@26.5C AO@36C thermal@27.25C POM_5V_IN 4458/4811 POM_5V_GPU 2579/2752 POM_5V_CPU 166/165
RAM 1697/3964MB (lfb 38x4MB) SWAP 116/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [3%@204,23%@204,2%@204,4%@204] EMC_FREQ 21%@1600 GR3D_FREQ 99%@921 APE 25 PLL@24C CPU@29C PMIC@50C GPU@26.5C AO@35.5C thermal@27.25C POM_5V_IN 4506/4804 POM_5V_GPU 2541/2748 POM_5V_CPU 166/165
RAM 1697/3964MB (lfb 38x4MB) SWAP 116/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [6%@204,21%@204,5%@204,4%@204] EMC_FREQ 21%@1600 GR3D_FREQ 99%@921 APE 25 PLL@24C CPU@28.5C PMIC@50C GPU@26.5C AO@35.5C thermal@28.25C POM_5V_IN 4464/4798 POM_5V_GPU 2541/2744 POM_5V_CPU 166/165
RAM 1697/3964MB (lfb 38x4MB) SWAP 116/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [7%@204,22%@102,4%@102,6%@204] EMC_FREQ 21%@1600 GR3D_FREQ 99%@921 APE 25 PLL@24C CPU@28C PMIC@50C GPU@26.5C AO@35.5C thermal@27.75C POM_5V_IN 4464/4791 POM_5V_GPU 2458/2738 POM_5V_CPU 166/165
RAM 1697/3964MB (lfb 38x4MB) SWAP 116/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [5%@204,23%@204,5%@204,4%@204] EMC_FREQ 21%@1600 GR3D_FREQ 69%@921 APE 25 PLL@24.5C CPU@28.5C PMIC@50C GPU@27C AO@36.5C thermal@27.75C POM_5V_IN 4859/4792 POM_5V_GPU 2861/2740 POM_5V_CPU 165/165
RAM 1697/3964MB (lfb 38x4MB) SWAP 116/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [5%@102,24%@204,2%@204,5%@204] EMC_FREQ 21%@1600 GR3D_FREQ 70%@921 APE 25 PLL@24C CPU@29C PMIC@50C GPU@27C AO@36.5C thermal@27.5C POM_5V_IN 5051/4797 POM_5V_GPU 3018/2745 POM_5V_CPU 124/164
RAM 1697/3964MB (lfb 38x4MB) SWAP 116/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [4%@102,23%@102,3%@102,5%@102] EMC_FREQ 21%@1600 GR3D_FREQ 64%@921 APE 25 PLL@24.5C CPU@29.5C PMIC@50C GPU@27C AO@36C thermal@27.75C POM_5V_IN 5093/4803 POM_5V_GPU 3100/2752 POM_5V_CPU 165/164
RAM 1697/3964MB (lfb 38x4MB) SWAP 116/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [5%@102,22%@102,3%@102,2%@102] EMC_FREQ 21%@1600 GR3D_FREQ 99%@921 APE 25 PLL@24C CPU@29C PMIC@50C GPU@26.5C AO@35.5C thermal@27.75C POM_5V_IN 5176/4809 POM_5V_GPU 2898/2755 POM_5V_CPU 165/164
RAM 1697/3964MB (lfb 38x4MB) SWAP 116/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [6%@204,8%@204,10%@204,11%@204] EMC_FREQ 21%@1600 GR3D_FREQ 99%@921 APE 25 PLL@24C CPU@28.5C PMIC@50C GPU@26.5C AO@35.5C thermal@27.75C POM_5V_IN 4901/4811 POM_5V_GPU 2741/2754 POM_5V_CPU 166/164
RAM 1697/3964MB (lfb 38x4MB) SWAP 116/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [5%@102,21%@102,2%@102,2%@102] EMC_FREQ 21%@1600 GR3D_FREQ 99%@921 APE 25 PLL@24C CPU@29C PMIC@50C GPU@26.5C AO@35.5C thermal@27.75C POM_5V_IN 4590/4807 POM_5V_GPU 2537/2751 POM_5V_CPU 207/165
RAM 1697/3964MB (lfb 38x4MB) SWAP 116/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [6%@204,20%@204,5%@204,5%@204] EMC_FREQ 21%@1600 GR3D_FREQ 87%@921 APE 25 PLL@24C CPU@29C PMIC@50C GPU@27C AO@35.5C thermal@27.75C POM_5V_IN 4583/4803 POM_5V_GPU 2620/2748 POM_5V_CPU 166/165
RAM 1697/3964MB (lfb 38x4MB) SWAP 116/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [4%@307,21%@204,2%@204,1%@204] EMC_FREQ 21%@1600 GR3D_FREQ 89%@921 APE 25 PLL@24.5C CPU@29.5C PMIC@50C GPU@26.5C AO@37C thermal@27.75C POM_5V_IN 5292/4812 POM_5V_GPU 3137/2755 POM_5V_CPU 206/166
