RAM 1640/3964MB (lfb 37x4MB) SWAP 108/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [7%@403,35%@403,7%@403,7%@403] EMC_FREQ 35%@1600 GR3D_FREQ 86%@921 APE 25 PLL@24.5C CPU@29C PMIC@50C GPU@27C AO@36C thermal@28C POM_5V_IN 5522/5511 POM_5V_GPU 2962/2943 POM_5V_CPU 288/288
RAM 1640/3964MB (lfb 37x4MB) SWAP 108/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [8%@403,32%@403,6%@403,4%@403] EMC_FREQ 35%@1600 GR3D_FREQ 93%@921 APE 25 PLL@24.5C CPU@29C PMIC@50C GPU@27C AO@36.5C thermal@28C POM_5V_IN 5678/5515 POM_5V_GPU 3081/2946 POM_5V_CPU 329/289
RAM 1640/3964MB (lfb 37x4MB) SWAP 108/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [10%@403,36%@403,3%@403,7%@403] EMC_FREQ 35%@1600 GR3D_FREQ 89%@921 APE 25 PLL@24C CPU@29C PMIC@50C GPU@27C AO@36C thermal@28C POM_5V_IN 5481/5514 POM_5V_GPU 2962/2947 POM_5V_CPU 288/289
RAM 1640/3964MB (lfb 37x4MB) SWAP 108/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [8%@307,35%@307,8%@307,10%@307] EMC_FREQ 35%@1600 GR3D_FREQ 80%@921 APE 25 PLL@24.5C CPU@29C PMIC@50C GPU@26.5C AO@36.5C thermal@28C POM_5V_IN 5440/5513 POM_5V_GPU 2962/2947 POM_5V_CPU 288/289
RAM 1639/3964MB (lfb 37x4MB) SWAP 108/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [7%@403,37%@403,6%@403,7%@403] EMC_FREQ 35%@1600 GR3D_FREQ 86%@921 APE 25 PLL@24.5C CPU@29.5C PMIC@50C GPU@27C AO@36.5C thermal@28C POM_5V_IN 5522/5513 POM_5V_GPU 3045/2949 POM_5V_CPU 288/289
RAM 1639/3964MB (lfb 37x4MB) SWAP 108/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [10%@403,34%@403,4%@403,5%@403] EMC_FREQ 35%@1600 GR3D_FREQ 85%@921 APE 25 PLL@24.5C CPU@29C PMIC@50C GPU@26.5C AO@36C thermal@28C POM_5V_IN 5596/5515 POM_5V_GPU 3045/2951 POM_5V_CPU 288/289
RAM 1639/3964MB (lfb 37x4MB) SWAP 108/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [9%@307,33%@307,7%@307,6%@307] EMC_FREQ 35%@1600 GR3D_FREQ 90%@921 APE 25 PLL@24.5C CPU@29C PMIC@50C GPU@27C AO@36C thermal@28.25C POM_5V_IN 5564/5516 POM_5V_GPU 3045/2953 POM_5V_CPU 288/289
RAM 1639/3964MB (lfb 37x4MB) SWAP 108/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [8%@403,35%@403,3%@403,9%@403] EMC_FREQ 35%@1600 GR3D_FREQ 93%@921 APE 25 PLL@24.5C CPU@29C PMIC@50C GPU@27C AO@36C thermal@28C POM_5V_IN 5596/5517 POM_5V_GPU 3004/2954 POM_5V_CPU 288/289
RAM 1640/3964MB (lfb 37x4MB) SWAP 108/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [8%@307,33%@307,4%@307,5%@307] EMC_FREQ 35%@1600 GR3D_FREQ 90%@921 APE 25 PLL@24.5C CPU@29.5C PMIC@50C GPU@27C AO@36.5C thermal@28C POM_5V_IN 5481/5516 POM_5V_GPU 3004/2955 POM_5V_CPU 288/289
RAM 1640/3964MB (lfb 37x4MB) SWAP 108/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [8%@403,36%@403,8%@403,8%@403] EMC_FREQ 35%@1600 GR3D_FREQ 86%@921 APE 25 PLL@24.5C CPU@29.5C PMIC@50C GPU@27C AO@36.5C thermal@28.25C POM_5V_IN 5637/5519 POM_5V_GPU 2921/2954 POM_5V_CPU 288/289
RAM 1640/3964MB (lfb 37x4MB) SWAP 108/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [10%@307,32%@307,6%@307,7%@307] EMC_FREQ 35%@1600 GR3D_FREQ 87%@921 APE 25 PLL@24.5C CPU@29.5C PMIC@50C GPU@27C AO@35.5C thermal@28.25C POM_5V_IN 5522/5519 POM_5V_GPU 3004/2955 POM_5V_CPU 288/289
RAM 1640/3964MB (lfb 37x4MB) SWAP 108/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [9%@518,34%@518,7%@518,7%@518] EMC_FREQ 35%@1600 GR3D_FREQ 85%@921 APE 25 PLL@24.5C CPU@30C PMIC@50C GPU@27C AO@36C thermal@28.25C POM_5V_IN 5596/5520 POM_5V_GPU 3004/2956 POM_5V_CPU 288/289
RAM 1640/3964MB (lfb 37x4MB) SWAP 108/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [7%@403,35%@403,3%@403,9%@403] EMC_FREQ 35%@1600 GR3D_FREQ 88%@921 APE 25 PLL@24.5C CPU@30C PMIC@50C GPU@27C AO@36C thermal@28.25C POM_5V_IN 5637/5522 POM_5V_GPU 2962/2956 POM_5V_CPU 288/289
RAM 1640/3964MB (lfb 37x4MB) SWAP 108/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [10%@403,35%@403,6%@403,7%@403] EMC_FREQ 35%@1600 GR3D_FREQ 82%@921 APE 25 PLL@24.5C CPU@29.5C PMIC@50C GPU@27C AO@36C thermal@28.25C POM_5V_IN 5564/5523 POM_5V_GPU 3004/2957 POM_5V_CPU 288/289
RAM 1639/3964MB (lfb 37x4MB) SWAP 108/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [9%@307,35%@307,6%@307,5%@307] EMC_FREQ 35%@1600 GR3D_FREQ 89%@921 APE 25 PLL@25C CPU@29.5C PMIC@50C GPU@27C AO@36C thermal@28.5C POM_5V_IN 5637/5525 POM_5V_GPU 3004/2958 POM_5V_CPU 288/289
RAM 1640/3964MB (lfb 37x4MB) SWAP 108/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [7%@307,34%@307,7%@307,7%@307] EMC_FREQ 35%@1600 GR3D_FREQ 86%@921 APE 25 PLL@24.5C CPU@29.5C PMIC@50C GPU@27C AO@36.5C thermal@28.5C POM_5V_IN 5564/5526 POM_5V_GPU 3086/2960 POM_5V_CPU 288/289
