RAM 1647/3964MB (lfb 97x4MB) SWAP 150/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [32%@307,4%@307,2%@307,3%@403] EMC_FREQ 29%@1600 GR3D_FREQ 96%@921 APE 25 PLL@27.5C CPU@33.5C PMIC@50C GPU@30.5C AO@40.5C thermal@31.75C POM_5V_IN 5590/5634 POM_5V_GPU 3266/3262 POM_5V_CPU 248/222
RAM 1647/3964MB (lfb 97x4MB) SWAP 150/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [31%@204,4%@204,4%@204,4%@204] EMC_FREQ 29%@1600 GR3D_FREQ 85%@921 APE 25 PLL@27.5C CPU@33C PMIC@50C GPU@30.5C AO@40.5C thermal@31.75C POM_5V_IN 5870/5640 POM_5V_GPU 3348/3264 POM_5V_CPU 248/223
RAM 1647/3964MB (lfb 97x4MB) SWAP 150/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [26%@307,6%@307,3%@307,7%@307] EMC_FREQ 29%@1600 GR3D_FREQ 93%@921 APE 25 PLL@27.5C CPU@33.5C PMIC@50C GPU@30.5C AO@40.5C thermal@32.25C POM_5V_IN 5590/5639 POM_5V_GPU 3266/3264 POM_5V_CPU 248/223
RAM 1647/3964MB (lfb 97x4MB) SWAP 150/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [32%@204,4%@204,4%@204,1%@204] EMC_FREQ 29%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27.5C CPU@33C PMIC@50C GPU@30.5C AO@40.5C thermal@32.25C POM_5V_IN 5590/5638 POM_5V_GPU 3229/3263 POM_5V_CPU 206/223
RAM 1647/3964MB (lfb 97x4MB) SWAP 150/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [31%@204,6%@204,4%@204,4%@204] EMC_FREQ 29%@1600 GR3D_FREQ 83%@921 APE 25 PLL@27.5C CPU@33.5C PMIC@50C GPU@30.5C AO@40.5C thermal@32C POM_5V_IN 5705/5639 POM_5V_GPU 3384/3266 POM_5V_CPU 206/222
RAM 1647/3964MB (lfb 97x4MB) SWAP 150/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [30%@204,2%@204,4%@204,2%@204] EMC_FREQ 29%@1600 GR3D_FREQ 99%@921 APE 25 PLL@28C CPU@33.5C PMIC@50C GPU@30.5C AO@40.5C thermal@31.75C POM_5V_IN 5474/5635 POM_5V_GPU 3188/3264 POM_5V_CPU 248/223
RAM 1647/3964MB (lfb 97x4MB) SWAP 150/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [30%@307,4%@307,5%@307,2%@307] EMC_FREQ 29%@1600 GR3D_FREQ 82%@921 APE 25 PLL@27.5C CPU@33.5C PMIC@50C GPU@31C AO@40.5C thermal@31.75C POM_5V_IN 5474/5631 POM_5V_GPU 3188/3262 POM_5V_CPU 207/223
RAM 1648/3964MB (lfb 97x4MB) SWAP 150/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [33%@204,2%@204,7%@204,2%@204] EMC_FREQ 29%@1600 GR3D_FREQ 84%@921 APE 25 PLL@28C CPU@33.5C PMIC@50C GPU@31C AO@40.5C thermal@32C POM_5V_IN 5788/5635 POM_5V_GPU 3266/3262 POM_5V_CPU 248/223
RAM 1648/3964MB (lfb 97x4MB) SWAP 150/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [30%@307,5%@307,0%@307,3%@307] EMC_FREQ 29%@1600 GR3D_FREQ 83%@921 APE 25 PLL@27.5C CPU@34C PMIC@50C GPU@30.5C AO@41C thermal@31.75C POM_5V_IN 5631/5635 POM_5V_GPU 3390/3265 POM_5V_CPU 206/223
RAM 1648/3964MB (lfb 97x4MB) SWAP 150/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [29%@204,3%@204,3%@204,4%@204] EMC_FREQ 29%@1600 GR3D_FREQ 99%@921 APE 25 PLL@28C CPU@33C PMIC@50C GPU@30.5C AO@40.5C thermal@32C POM_5V_IN 5557/5633 POM_5V_GPU 3188/3264 POM_5V_CPU 248/223
RAM 1648/3964MB (lfb 97x4MB) SWAP 150/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [32%@204,1%@204,4%@204,2%@204] EMC_FREQ 29%@1600 GR3D_FREQ 81%@921 APE 25 PLL@27.5C CPU@33.5C PMIC@50C GPU@30.5C AO@40.5C thermal@32C POM_5V_IN 5829/5637 POM_5V_GPU 3307/3265 POM_5V_CPU 207/223
RAM 1648/3964MB (lfb 97x4MB) SWAP 150/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [28%@204,12%@204,5%@204,4%@204] EMC_FREQ 29%@1600 GR3D_FREQ 69%@921 APE 25 PLL@27.5C CPU@33.5C PMIC@50C GPU@30.5C AO@40C thermal@32C POM_5V_IN 5432/5633 POM_5V_GPU 3110/3261 POM_5V_CPU 248/223
RAM 1648/3964MB (lfb 97x4MB) SWAP 150/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [6%@307,30%@307,2%@307,2%@307] EMC_FREQ 29%@1600 GR3D_FREQ 85%@921 APE 25 PLL@27.5C CPU@33.5C PMIC@50C GPU@31C AO@40.5C thermal@32C POM_5V_IN 5515/5631 POM_5V_GPU 3188/3260 POM_5V_CPU 207/223
RAM 1648/3964MB (lfb 97x4MB) SWAP 150/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [8%@204,27%@204,9%@204,4%@204] EMC_FREQ 29%@1600 GR3D_FREQ 73%@921 APE 25 PLL@27.5C CPU@33C PMIC@50C GPU@30.5C AO@40.5C thermal@32.25C POM_5V_IN 5358/5625 POM_5V_GPU 3068/3256 POM_5V_CPU 207/223
RAM 1648/3964MB (lfb 97x4MB) SWAP 150/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [26%@204,10%@204,7%@204,4%@204] EMC_FREQ 29%@1600 GR3D_FREQ 89%@921 APE 25 PLL@28C CPU@34C PMIC@50C GPU@30.5C AO@41C thermal@32C POM_5V_IN 5829/5629 POM_5V_GPU 3307/3257 POM_5V_CPU 247/223
RAM 1648/3964MB (lfb 97x4MB) SWAP 150/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [8%@204,32%@204,2%@204,2%@204] EMC_FREQ 29%@1600 GR3D_FREQ 91%@921 APE 25 PLL@28C CPU@34C PMIC@50C GPU@31C AO@40.5C thermal@32C POM_5V_IN 5548/5628 POM_5V_GPU 3266/3257 POM_5V_CPU 206/223
RAM 1648/3964MB (lfb 97x4MB) SWAP 150/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [5%@204,29%@204,1%@204,3%@204] EMC_FREQ 29%@1600 GR3D_FREQ 83%@921 APE 25 PLL@28C CPU@34C PMIC@50C GPU@31C AO@40.5C thermal@31.75C POM_5V_IN 5746/5630 POM_5V_GPU 3390/3260 POM_5V_CPU 206/223
RAM 1648/3964MB (lfb 97x4MB) SWAP 150/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [5%@307,29%@307,1%@307,2%@307] EMC_FREQ 29%@1600 GR3D_FREQ 82%@921 APE 25 PLL@27.5C CPU@33.5C PMIC@50C GPU@30.5C AO@40.5C thermal@31.75C POM_5V_IN 5631/5630 POM_5V_GPU 3266/3260 POM_5V_CPU 206/222
RAM 1648/3964MB (lfb 97x4MB) SWAP 150/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [7%@204,31%@204,2%@204,5%@204] EMC_FREQ 29%@1600 GR3D_FREQ 83%@921 APE 25 PLL@28C CPU@34C PMIC@50C GPU@31C AO@40.5C thermal@31.75C POM_5V_IN 5746/5632 POM_5V_GPU 3229/3259 POM_5V_CPU 248/223
RAM 1648/3964MB (lfb 97x4MB) SWAP 150/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [4%@307,28%@307,1%@307,2%@307] EMC_FREQ 29%@1600 GR3D_FREQ 84%@921 APE 25 PLL@28C CPU@34C PMIC@50C GPU@31C AO@41C thermal@32C POM_5V_IN 5820/5635 POM_5V_GPU 3544/3264 POM_5V_CPU 206/222
RAM 1648/3964MB (lfb 97x4MB) SWAP 150/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [6%@307,26%@307,8%@307,3%@204] EMC_FREQ 29%@1600 GR3D_FREQ 83%@921 APE 25 PLL@28C CPU@33.5C PMIC@50C GPU@31C AO@40.5C thermal@32C POM_5V_IN 5672/5636 POM_5V_GPU 3348/3266 POM_5V_CPU 206/222
RAM 1648/3964MB (lfb 97x4MB) SWAP 150/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [7%@204,25%@204,7%@204,4%@204] EMC_FREQ 29%@1600 GR3D_FREQ 99%@921 APE 25 PLL@28C CPU@33.5C PMIC@50C GPU@30.5C AO@41C thermal@32C POM_5V_IN 5714/5637 POM_5V_GPU 3384/3268 POM_5V_CPU 248/223
RAM 1648/3964MB (lfb 97x4MB) SWAP 150/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [7%@307,32%@307,4%@307,4%@307] EMC_FREQ 29%@1600 GR3D_FREQ 99%@921 APE 25 PLL@28C CPU@33.5C PMIC@50C GPU@31C AO@40.5C thermal@32C POM_5V_IN 5631/5637 POM_5V_GPU 3307/3268 POM_5V_CPU 206/222
