RAM 2058/3964MB (lfb 76x4MB) SWAP 355/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [3%@102,3%@102,6%@102,5%@204] EMC_FREQ 43%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27C CPU@31.5C PMIC@50C GPU@29.5C AO@38C thermal@32C POM_5V_IN 5903/5727 POM_5V_GPU 3013/2806 POM_5V_CPU 124/141
RAM 2059/3964MB (lfb 76x4MB) SWAP 355/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [4%@102,6%@102,7%@102,8%@102] EMC_FREQ 43%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27C CPU@31.5C PMIC@50C GPU@29.5C AO@38C thermal@30.5C POM_5V_IN 5861/5730 POM_5V_GPU 2972/2810 POM_5V_CPU 124/140
RAM 2059/3964MB (lfb 76x4MB) SWAP 355/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [4%@102,7%@102,1%@102,3%@102] EMC_FREQ 43%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27.5C CPU@31.5C PMIC@50C GPU@29.5C AO@38C thermal@32C POM_5V_IN 5861/5734 POM_5V_GPU 2930/2813 POM_5V_CPU 124/140
RAM 2059/3964MB (lfb 76x4MB) SWAP 355/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [1%@102,9%@102,2%@204,2%@204] EMC_FREQ 43%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27C CPU@31.5C PMIC@50C GPU@29.5C AO@38.5C thermal@31.75C POM_5V_IN 5820/5736 POM_5V_GPU 2972/2817 POM_5V_CPU 124/139
RAM 2059/3964MB (lfb 76x4MB) SWAP 355/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [3%@204,8%@204,2%@204,2%@204] EMC_FREQ 43%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27C CPU@31.5C PMIC@50C GPU@29.5C AO@38.5C thermal@30.75C POM_5V_IN 5944/5741 POM_5V_GPU 3054/2823 POM_5V_CPU 123/139
RAM 2059/3964MB (lfb 76x4MB) SWAP 355/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [4%@204,3%@204,3%@204,6%@204] EMC_FREQ 43%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27C CPU@31.5C PMIC@50C GPU@30C AO@38.5C thermal@30.75C POM_5V_IN 5944/5746 POM_5V_GPU 3054/2829 POM_5V_CPU 123/138
RAM 2059/3964MB (lfb 76x4MB) SWAP 355/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [7%@102,3%@102,3%@102,4%@102] EMC_FREQ 43%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27.5C CPU@32C PMIC@50C GPU@30C AO@38C thermal@32.25C POM_5V_IN 5944/5751 POM_5V_GPU 3013/2833 POM_5V_CPU 124/138
RAM 2059/3964MB (lfb 76x4MB) SWAP 355/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [5%@102,2%@102,3%@102,6%@102] EMC_FREQ 43%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27C CPU@31.5C PMIC@50C GPU@30C AO@38.5C thermal@30.25C POM_5V_IN 5861/5753 POM_5V_GPU 2972/2836 POM_5V_CPU 124/138
RAM 2059/3964MB (lfb 76x4MB) SWAP 355/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [2%@204,4%@204,5%@204,8%@204] EMC_FREQ 43%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27C CPU@31.5C PMIC@50C GPU@30C AO@38.5C thermal@32C POM_5V_IN 5820/5755 POM_5V_GPU 2894/2838 POM_5V_CPU 124/137
RAM 2059/3964MB (lfb 76x4MB) SWAP 355/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [2%@102,6%@102,1%@102,7%@102] EMC_FREQ 43%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27C CPU@31.5C PMIC@50C GPU@30C AO@38.5C thermal@31.5C POM_5V_IN 5746/5754 POM_5V_GPU 2774/2836 POM_5V_CPU 124/137
RAM 2059/3964MB (lfb 76x4MB) SWAP 355/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [4%@102,2%@102,3%@102,7%@102] EMC_FREQ 43%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27.5C CPU@31.5C PMIC@50C GPU@30C AO@38.5C thermal@31.5C POM_5V_IN 5788/5755 POM_5V_GPU 2852/2837 POM_5V_CPU 124/137
RAM 2059/3964MB (lfb 76x4MB) SWAP 355/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [7%@204,3%@204,3%@204,6%@204] EMC_FREQ 43%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27.5C CPU@31.5C PMIC@50C GPU@30.5C AO@38.5C thermal@31.5C POM_5V_IN 5829/5757 POM_5V_GPU 2894/2838 POM_5V_CPU 124/137
RAM 2059/3964MB (lfb 76x4MB) SWAP 355/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [2%@204,6%@204,3%@204,4%@204] EMC_FREQ 43%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27.5C CPU@31.5C PMIC@50C GPU@30C AO@38C thermal@30.75C POM_5V_IN 5861/5759 POM_5V_GPU 2972/2841 POM_5V_CPU 124/136
RAM 2059/3964MB (lfb 76x4MB) SWAP 355/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [3%@102,10%@102,2%@102,1%@102] EMC_FREQ 43%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27C CPU@31.5C PMIC@50C GPU@30.5C AO@38.5C thermal@32C POM_5V_IN 5944/5763 POM_5V_GPU 3054/2845 POM_5V_CPU 123/136
RAM 2059/3964MB (lfb 76x4MB) SWAP 355/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [8%@102,5%@204,4%@204,1%@204] EMC_FREQ 43%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27C CPU@31.5C PMIC@50C GPU@30.5C AO@38.5C thermal@30.5C POM_5V_IN 5861/5765 POM_5V_GPU 2972/2848 POM_5V_CPU 124/136
RAM 2059/3964MB (lfb 76x4MB) SWAP 355/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [2%@102,6%@102,1%@102,5%@102] EMC_FREQ 43%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27C CPU@32C PMIC@50C GPU@29.5C AO@38.5C thermal@32.5C POM_5V_IN 5788/5765 POM_5V_GPU 2894/2848 POM_5V_CPU 124/136
RAM 2059/3964MB (lfb 76x4MB) SWAP 355/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [5%@102,7%@102,4%@102,2%@102] EMC_FREQ 43%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27C CPU@31C PMIC@50C GPU@30C AO@39C thermal@32.5C POM_5V_IN 5557/5761 POM_5V_GPU 2654/2845 POM_5V_CPU 124/135
RAM 2059/3964MB (lfb 76x4MB) SWAP 355/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [2%@102,7%@102,1%@102,5%@102] EMC_FREQ 43%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27C CPU@31C PMIC@50C GPU@29.5C AO@38.5C thermal@31.75C POM_5V_IN 5681/5760 POM_5V_GPU 2654/2841 POM_5V_CPU 124/135
RAM 2059/3964MB (lfb 76x4MB) SWAP 355/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [4%@102,5%@102,3%@204,8%@204] EMC_FREQ 43%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27C CPU@31.5C PMIC@50C GPU@30C AO@38.5C thermal@31C POM_5V_IN 5755/5759 POM_5V_GPU 2732/2839 POM_5V_CPU 165/136
RAM 2059/3964MB (lfb 76x4MB) SWAP 355/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [4%@102,8%@102,1%@102,1%@102] EMC_FREQ 43%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27C CPU@31.5C PMIC@50C GPU@29.5C AO@39C thermal@32C POM_5V_IN 5358/5752 POM_5V_GPU 2608/2835 POM_5V_CPU 124/135
RAM 2059/3964MB (lfb 76x4MB) SWAP 355/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [4%@102,8%@102,3%@102,2%@102] EMC_FREQ 43%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27C CPU@31.5C PMIC@50C GPU@30C AO@38.5C thermal@30.75C POM_5V_IN 5788/5753 POM_5V_GPU 2894/2836 POM_5V_CPU 124/135
RAM 2059/3964MB (lfb 76x4MB) SWAP 355/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [4%@102,3%@102,3%@204,4%@204] EMC_FREQ 43%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27C CPU@31.5C PMIC@50C GPU@30C AO@38.5C thermal@32.25C POM_5V_IN 5672/5751 POM_5V_GPU 2732/2834 POM_5V_CPU 124/135
RAM 2059/3964MB (lfb 76x4MB) SWAP 355/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [6%@204,3%@204,3%@204,2%@204] EMC_FREQ 43%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27.5C CPU@31.5C PMIC@50C GPU@29.5C AO@38.5C thermal@31.25C POM_5V_IN 5746/5751 POM_5V_GPU 2774/2833 POM_5V_CPU 165/135
