RAM 2180/3964MB (lfb 8x4MB) SWAP 296/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [1%@102,12%@102,0%@102,0%@204] EMC_FREQ 29%@1600 GR3D_FREQ 99%@921 APE 25 PLL@24.5C CPU@29C PMIC@50C GPU@28C AO@36C thermal@28C POM_5V_IN 5083/5305 POM_5V_GPU 2749/3067 POM_5V_CPU 125/131
RAM 2180/3964MB (lfb 8x4MB) SWAP 296/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [2%@204,9%@204,1%@204,3%@204] EMC_FREQ 29%@1600 GR3D_FREQ 99%@921 APE 25 PLL@24.5C CPU@29C PMIC@50C GPU@27.5C AO@35.5C thermal@28.25C POM_5V_IN 4078/5277 POM_5V_GPU 2057/3044 POM_5V_CPU 167/132
RAM 2180/3964MB (lfb 8x4MB) SWAP 296/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [3%@102,7%@102,0%@102,3%@102] EMC_FREQ 29%@1600 GR3D_FREQ 99%@921 APE 25 PLL@24.5C CPU@31C PMIC@50C GPU@28C AO@38.5C thermal@28.25C POM_5V_IN 5705/5286 POM_5V_GPU 3585/3056 POM_5V_CPU 123/132
RAM 2180/3964MB (lfb 8x4MB) SWAP 296/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [3%@102,8%@102,1%@102,6%@102] EMC_FREQ 29%@1600 GR3D_FREQ 99%@921 APE 25 PLL@24.5C CPU@29.5C PMIC@50C GPU@27.5C AO@36.5C thermal@28C POM_5V_IN 5870/5299 POM_5V_GPU 3395/3064 POM_5V_CPU 124/132
RAM 2180/3964MB (lfb 8x4MB) SWAP 296/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [2%@710,7%@710,1%@710,6%@710] EMC_FREQ 29%@1600 GR3D_FREQ 99%@921 APE 25 PLL@25C CPU@30C PMIC@50C GPU@28C AO@35.5C thermal@28.25C POM_5V_IN 4882/5290 POM_5V_GPU 2587/3053 POM_5V_CPU 166/132
RAM 2180/3964MB (lfb 8x4MB) SWAP 296/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [1%@204,7%@307,3%@307,5%@307] EMC_FREQ 29%@1600 GR3D_FREQ 99%@921 APE 25 PLL@24.5C CPU@29C PMIC@50C GPU@27C AO@35.5C thermal@28.25C POM_5V_IN 4162/5267 POM_5V_GPU 2057/3033 POM_5V_CPU 125/132
RAM 2180/3964MB (lfb 8x4MB) SWAP 296/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [2%@102,10%@204,1%@204,1%@204] EMC_FREQ 29%@1600 GR3D_FREQ 99%@921 APE 25 PLL@24.5C CPU@31C PMIC@50C GPU@27.5C AO@38.5C thermal@28C POM_5V_IN 5590/5273 POM_5V_GPU 3508/3042 POM_5V_CPU 123/132
RAM 2180/3964MB (lfb 8x4MB) SWAP 296/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [3%@204,7%@204,2%@204,2%@204] EMC_FREQ 29%@1600 GR3D_FREQ 99%@921 APE 25 PLL@24.5C CPU@30.5C PMIC@50C GPU@28C AO@37C thermal@28.5C POM_5V_IN 6141/5291 POM_5V_GPU 3668/3055 POM_5V_CPU 124/132
RAM 2180/3964MB (lfb 8x4MB) SWAP 296/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [3%@102,2%@102,6%@102,6%@102] EMC_FREQ 29%@1600 GR3D_FREQ 99%@921 APE 25 PLL@24.5C CPU@29C PMIC@50C GPU@27.5C AO@35.5C thermal@28C POM_5V_IN 4646/5278 POM_5V_GPU 2385/3042 POM_5V_CPU 125/132
RAM 2181/3964MB (lfb 8x4MB) SWAP 296/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [4%@307,7%@307,8%@307,2%@307] EMC_FREQ 29%@1600 GR3D_FREQ 66%@921 APE 25 PLL@24.5C CPU@29.5C PMIC@50C GPU@27C AO@37C thermal@28.25C POM_5V_IN 4562/5264 POM_5V_GPU 2545/3032 POM_5V_CPU 124/132
RAM 2181/3964MB (lfb 8x4MB) SWAP 296/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [1%@204,13%@204,0%@204,0%@204] EMC_FREQ 29%@1600 GR3D_FREQ 99%@921 APE 25 PLL@24.5C CPU@30.5C PMIC@50C GPU@27.5C AO@38.5C thermal@28.25C POM_5V_IN 5788/5274 POM_5V_GPU 3627/3043 POM_5V_CPU 123/131
RAM 2181/3964MB (lfb 8x4MB) SWAP 296/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [3%@204,5%@204,1%@204,2%@204] EMC_FREQ 29%@1600 GR3D_FREQ 99%@921 APE 25 PLL@24.5C CPU@30.5C PMIC@50C GPU@28C AO@37C thermal@29.25C POM_5V_IN 5985/5287 POM_5V_GPU 3550/3053 POM_5V_CPU 124/131
RAM 2181/3964MB (lfb 8x4MB) SWAP 296/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [1%@102,10%@102,0%@102,3%@102] EMC_FREQ 29%@1600 GR3D_FREQ 99%@921 APE 25 PLL@24.5C CPU@28.5C PMIC@50C GPU@27.5C AO@35.5C thermal@28.25C POM_5V_IN 4646/5276 POM_5V_GPU 2385/3041 POM_5V_CPU 125/131
RAM 2181/3964MB (lfb 8x4MB) SWAP 296/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [3%@102,11%@204,2%@204,0%@204] EMC_FREQ 29%@1600 GR3D_FREQ 67%@921 APE 25 PLL@24.5C CPU@30C PMIC@50C GPU@27C AO@38C thermal@28.25C POM_5V_IN 4882/5269 POM_5V_GPU 2870/3037 POM_5V_CPU 166/132
RAM 2181/3964MB (lfb 8x4MB) SWAP 296/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [2%@204,9%@204,0%@204,0%@204] EMC_FREQ 29%@1600 GR3D_FREQ 99%@921 APE 25 PLL@24.5C CPU@31.5C PMIC@50C GPU@28C AO@39.5C thermal@28.5C POM_5V_IN 6213/5285 POM_5V_GPU 4020/3055 POM_5V_CPU 123/132
RAM 2181/3964MB (lfb 8x4MB) SWAP 296/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [1%@204,9%@204,1%@204,0%@204] EMC_FREQ 29%@1600 GR3D_FREQ 99%@921 APE 25 PLL@25C CPU@29C PMIC@50C GPU@28C AO@36C thermal@28.75C POM_5V_IN 5124/5282 POM_5V_GPU 2833/3051 POM_5V_CPU 125/131
RAM 2181/3964MB (lfb 8x4MB) SWAP 296/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [2%@102,4%@204,2%@204,6%@204] EMC_FREQ 29%@1600 GR3D_FREQ 99%@921 APE 25 PLL@24.5C CPU@28.5C PMIC@50C GPU@27.5C AO@35C thermal@28.75C POM_5V_IN 3964/5260 POM_5V_GPU 1813/3030 POM_5V_CPU 168/132
