RAM 1682/3964MB (lfb 70x4MB) SWAP 195/1982MB (cached 5MB) IRAM 0/252kB(lfb 252kB) CPU [4%@307,6%@307,11%@307,1%@307] EMC_FREQ 32%@1600 GR3D_FREQ 63%@921 APE 25 PLL@27.5C CPU@33.5C PMIC@50C GPU@30C AO@40.5C thermal@31.5C POM_5V_IN 5557/5974 POM_5V_GPU 3188/3489 POM_5V_CPU 124/155
RAM 1682/3964MB (lfb 70x4MB) SWAP 195/1982MB (cached 5MB) IRAM 0/252kB(lfb 252kB) CPU [7%@204,5%@204,15%@204,4%@204] EMC_FREQ 32%@1600 GR3D_FREQ 99%@921 APE 25 PLL@28C CPU@33C PMIC@50C GPU@30C AO@40C thermal@32C POM_5V_IN 5399/5959 POM_5V_GPU 2985/3475 POM_5V_CPU 165/155
RAM 1682/3964MB (lfb 70x4MB) SWAP 195/1982MB (cached 5MB) IRAM 0/252kB(lfb 252kB) CPU [9%@102,5%@102,10%@102,5%@102] EMC_FREQ 32%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27.5C CPU@33C PMIC@50C GPU@30C AO@40.5C thermal@32.25C POM_5V_IN 5557/5948 POM_5V_GPU 3064/3464 POM_5V_CPU 165/155
RAM 1682/3964MB (lfb 70x4MB) SWAP 195/1982MB (cached 5MB) IRAM 0/252kB(lfb 252kB) CPU [8%@102,9%@102,9%@102,2%@102] EMC_FREQ 32%@1600 GR3D_FREQ 99%@921 APE 25 PLL@28C CPU@32.5C PMIC@50C GPU@30.5C AO@40C thermal@32.25C POM_5V_IN 5399/5934 POM_5V_GPU 2944/3451 POM_5V_CPU 124/154
RAM 1682/3964MB (lfb 70x4MB) SWAP 195/1982MB (cached 5MB) IRAM 0/252kB(lfb 252kB) CPU [14%@204,6%@204,0%@204,5%@204] EMC_FREQ 32%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27.5C CPU@32.5C PMIC@50C GPU@30.5C AO@41C thermal@31.75C POM_5V_IN 5631/5926 POM_5V_GPU 3142/3443 POM_5V_CPU 165/155
RAM 1682/3964MB (lfb 70x4MB) SWAP 195/1982MB (cached 5MB) IRAM 0/252kB(lfb 252kB) CPU [9%@204,11%@102,5%@102,2%@102] EMC_FREQ 32%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27.5C CPU@32.5C PMIC@50C GPU@30.5C AO@40C thermal@32C POM_5V_IN 5515/5916 POM_5V_GPU 2985/3432 POM_5V_CPU 165/155
RAM 1682/3964MB (lfb 70x4MB) SWAP 195/1982MB (cached 5MB) IRAM 0/252kB(lfb 252kB) CPU [13%@204,6%@204,4%@204,0%@204] EMC_FREQ 32%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27.5C CPU@32.5C PMIC@50C GPU@30.5C AO@40C thermal@32.5C POM_5V_IN 5829/5914 POM_5V_GPU 3100/3424 POM_5V_CPU 165/155
RAM 1682/3964MB (lfb 70x4MB) SWAP 195/1982MB (cached 5MB) IRAM 0/252kB(lfb 252kB) CPU [11%@403,5%@403,3%@403,1%@403] EMC_FREQ 32%@1600 GR3D_FREQ 99%@921 APE 25 PLL@28C CPU@33C PMIC@50C GPU@30.5C AO@40C thermal@32.25C POM_5V_IN 5944/5915 POM_5V_GPU 3384/3423 POM_5V_CPU 165/155
RAM 1682/3964MB (lfb 70x4MB) SWAP 195/1982MB (cached 5MB) IRAM 0/252kB(lfb 252kB) CPU [14%@102,10%@102,4%@102,2%@102] EMC_FREQ 32%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27.5C CPU@34C PMIC@50C GPU@31C AO@40.5C thermal@32C POM_5V_IN 5985/5917 POM_5V_GPU 3384/3422 POM_5V_CPU 123/155
RAM 1682/3964MB (lfb 70x4MB) SWAP 195/1982MB (cached 5MB) IRAM 0/252kB(lfb 252kB) CPU [7%@102,7%@102,5%@102,1%@102] EMC_FREQ 32%@1600 GR3D_FREQ 99%@921 APE 25 PLL@28C CPU@33.5C PMIC@50C GPU@30.5C AO@40C thermal@31.75C POM_5V_IN 5829/5915 POM_5V_GPU 3142/3416 POM_5V_CPU 165/155
RAM 1682/3964MB (lfb 69x4MB) SWAP 195/1982MB (cached 5MB) IRAM 0/252kB(lfb 252kB) CPU [8%@825,8%@825,8%@825,4%@825] EMC_FREQ 32%@1600 GR3D_FREQ 99%@921 APE 25 PLL@28C CPU@34.5C PMIC@50C GPU@31C AO@40.5C thermal@32.75C POM_5V_IN 5944/5915 POM_5V_GPU 3379/3415 POM_5V_CPU 206/156
RAM 1682/3964MB (lfb 69x4MB) SWAP 195/1982MB (cached 5MB) IRAM 0/252kB(lfb 252kB) CPU [12%@102,7%@102,5%@102,2%@102] EMC_FREQ 32%@1600 GR3D_FREQ 99%@921 APE 25 PLL@28C CPU@33.5C PMIC@50C GPU@31C AO@40C thermal@32.75C POM_5V_IN 5912/5915 POM_5V_GPU 3266/3412 POM_5V_CPU 124/155
RAM 1682/3964MB (lfb 69x4MB) SWAP 195/1982MB (cached 5MB) IRAM 0/252kB(lfb 252kB) CPU [12%@102,6%@102,4%@102,4%@204] EMC_FREQ 32%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27.5C CPU@33C PMIC@50C GPU@31C AO@40.5C thermal@32.75C POM_5V_IN 5672/5910 POM_5V_GPU 3105/3405 POM_5V_CPU 165/155
RAM 1682/3964MB (lfb 69x4MB) SWAP 195/1982MB (cached 5MB) IRAM 0/252kB(lfb 252kB) CPU [12%@102,7%@102,2%@204,5%@204] EMC_FREQ 32%@1600 GR3D_FREQ 99%@921 APE 25 PLL@28C CPU@33C PMIC@50C GPU@31C AO@40C thermal@32.25C POM_5V_IN 5474/5901 POM_5V_GPU 2985/3397 POM_5V_CPU 165/156
RAM 1682/3964MB (lfb 69x4MB) SWAP 195/1982MB (cached 5MB) IRAM 0/252kB(lfb 252kB) CPU [16%@102,7%@204,3%@204,5%@204] EMC_FREQ 32%@1600 GR3D_FREQ 99%@921 APE 25 PLL@28C CPU@33C PMIC@50C GPU@31.5C AO@40C thermal@32.25C POM_5V_IN 5358/5890 POM_5V_GPU 2944/3388 POM_5V_CPU 165/156
RAM 1682/3964MB (lfb 69x4MB) SWAP 195/1982MB (cached 5MB) IRAM 0/252kB(lfb 252kB) CPU [8%@204,9%@204,7%@204,2%@204] EMC_FREQ 32%@1600 GR3D_FREQ 99%@921 APE 25 PLL@28C CPU@33C PMIC@50C GPU@31C AO@40C thermal@32C POM_5V_IN 5432/5881 POM_5V_GPU 3022/3381 POM_5V_CPU 165/156
RAM 1682/3964MB (lfb 69x4MB) SWAP 195/1982MB (cached 5MB) IRAM 0/252kB(lfb 252kB) CPU [4%@204,8%@204,5%@204,4%@204] EMC_FREQ 32%@1600 GR3D_FREQ 99%@921 APE 25 PLL@28C CPU@33C PMIC@50C GPU@31C AO@40.5C thermal@31.75C POM_5V_IN 5590/5876 POM_5V_GPU 3100/3375 POM_5V_CPU 165/156
RAM 1682/3964MB (lfb 69x4MB) SWAP 195/1982MB (cached 5MB) IRAM 0/252kB(lfb 252kB) CPU [8%@204,11%@204,7%@204,4%@204] EMC_FREQ 32%@1600 GR3D_FREQ 99%@921 APE 25 PLL@28C CPU@32.5C PMIC@50C GPU@31C AO@40C thermal@32.5C POM_5V_IN 5441/5867 POM_5V_GPU 2981/3368 POM_5V_CPU 165/156
RAM 1682/3964MB (lfb 69x4MB) SWAP 195/1982MB (cached 5MB) IRAM 0/252kB(lfb 252kB) CPU [9%@102,7%@102,7%@102,2%@204] EMC_FREQ 32%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27.5C CPU@32.5C PMIC@50C GPU@31C AO@40.5C thermal@32.5C POM_5V_IN 5358/5858 POM_5V_GPU 2944/3360 POM_5V_CPU 124/156
RAM 1682/3964MB (lfb 69x4MB) SWAP 195/1982MB (cached 5MB) IRAM 0/252kB(lfb 252kB) CPU [10%@204,7%@204,4%@204,2%@204] EMC_FREQ 32%@1600 GR3D_FREQ 99%@921 APE 25 PLL@28C CPU@33C PMIC@50C GPU@31.5C AO@40.5C thermal@32.75C POM_5V_IN 5590/5853 POM_5V_GPU 3105/3355 POM_5V_CPU 165/156
RAM 1682/3964MB (lfb 69x4MB) SWAP 195/1982MB (cached 5MB) IRAM 0/252kB(lfb 252kB) CPU [12%@102,6%@204,4%@204,1%@204] EMC_FREQ 32%@1600 GR3D_FREQ 99%@921 APE 25 PLL@28C CPU@33C PMIC@50C GPU@31C AO@40C thermal@32C POM_5V_IN 5474/5846 POM_5V_GPU 3022/3349 POM_5V_CPU 124/155
RAM 1682/3964MB (lfb 69x4MB) SWAP 195/1982MB (cached 5MB) IRAM 0/252kB(lfb 252kB) CPU [8%@102,12%@102,6%@204,4%@204] EMC_FREQ 32%@1600 GR3D_FREQ 99%@921 APE 25 PLL@28C CPU@33.5C PMIC@50C GPU@31C AO@40.5C thermal@32C POM_5V_IN 5474/5840 POM_5V_GPU 3022/3344 POM_5V_CPU 165/155
RAM 1682/3964MB (lfb 69x4MB) SWAP 195/1982MB (cached 5MB) IRAM 0/252kB(lfb 252kB) CPU [7%@204,10%@204,4%@204,3%@204] EMC_FREQ 32%@1600 GR3D_FREQ 99%@921 APE 25 PLL@28C CPU@33C PMIC@50C GPU@31C AO@39.5C thermal@32C POM_5V_IN 5324/5831 POM_5V_GPU 2708/3333 POM_5V_CPU 166/156
