RAM 1607/3964MB (lfb 146x4MB) SWAP 203/1982MB (cached 5MB) IRAM 0/252kB(lfb 252kB) CPU [29%@307,2%@307,1%@307,5%@307] EMC_FREQ 26%@1600 GR3D_FREQ 91%@921 APE 25 PLL@25C CPU@31C PMIC@50C GPU@28C AO@38C thermal@29C POM_5V_IN 5557/5760 POM_5V_GPU 3395/3534 POM_5V_CPU 165/176
RAM 1607/3964MB (lfb 146x4MB) SWAP 203/1982MB (cached 5MB) IRAM 0/252kB(lfb 252kB) CPU [27%@307,4%@307,3%@307,5%@307] EMC_FREQ 26%@1600 GR3D_FREQ 69%@921 APE 25 PLL@24.5C CPU@31C PMIC@50C GPU@28C AO@38.5C thermal@29.5C POM_5V_IN 5565/5754 POM_5V_GPU 3359/3529 POM_5V_CPU 165/176
RAM 1607/3964MB (lfb 146x4MB) SWAP 203/1982MB (cached 5MB) IRAM 0/252kB(lfb 252kB) CPU [28%@204,5%@204,7%@204,4%@204] EMC_FREQ 26%@1600 GR3D_FREQ 84%@921 APE 25 PLL@24.5C CPU@30.5C PMIC@50C GPU@27.5C AO@38.5C thermal@29.25C POM_5V_IN 5640/5751 POM_5V_GPU 3478/3528 POM_5V_CPU 165/175
RAM 1608/3964MB (lfb 146x4MB) SWAP 203/1982MB (cached 5MB) IRAM 0/252kB(lfb 252kB) CPU [25%@204,6%@204,8%@204,5%@204] EMC_FREQ 26%@1600 GR3D_FREQ 67%@921 APE 25 PLL@24.5C CPU@30.5C PMIC@50C GPU@28C AO@39C thermal@29.25C POM_5V_IN 5681/5750 POM_5V_GPU 3519/3528 POM_5V_CPU 206/176
RAM 1608/3964MB (lfb 146x4MB) SWAP 203/1982MB (cached 5MB) IRAM 0/252kB(lfb 252kB) CPU [24%@403,3%@403,3%@403,4%@403] EMC_FREQ 26%@1600 GR3D_FREQ 70%@921 APE 25 PLL@24.5C CPU@31.5C PMIC@50C GPU@27.5C AO@38.5C thermal@29.5C POM_5V_IN 5797/5751 POM_5V_GPU 3596/3529 POM_5V_CPU 206/177
RAM 1608/3964MB (lfb 146x4MB) SWAP 203/1982MB (cached 5MB) IRAM 0/252kB(lfb 252kB) CPU [25%@307,5%@307,3%@307,4%@204] EMC_FREQ 26%@1600 GR3D_FREQ 98%@921 APE 25 PLL@25C CPU@31C PMIC@50C GPU@28C AO@38.5C thermal@29.5C POM_5V_IN 5640/5748 POM_5V_GPU 3436/3527 POM_5V_CPU 165/177
RAM 1608/3964MB (lfb 146x4MB) SWAP 203/1982MB (cached 5MB) IRAM 0/252kB(lfb 252kB) CPU [14%@307,15%@403,9%@403,2%@403] EMC_FREQ 26%@1600 GR3D_FREQ 99%@921 APE 25 PLL@24.5C CPU@30.5C PMIC@50C GPU@27.5C AO@38C thermal@29.5C POM_5V_IN 5482/5742 POM_5V_GPU 3359/3523 POM_5V_CPU 165/176
RAM 1608/3964MB (lfb 146x4MB) SWAP 203/1982MB (cached 5MB) IRAM 0/252kB(lfb 252kB) CPU [9%@102,23%@102,9%@102,5%@102] EMC_FREQ 26%@1600 GR3D_FREQ 99%@921 APE 25 PLL@25C CPU@30.5C PMIC@50C GPU@27.5C AO@38C thermal@29.25C POM_5V_IN 5723/5741 POM_5V_GPU 3354/3519 POM_5V_CPU 165/176
RAM 1608/3964MB (lfb 146x4MB) SWAP 203/1982MB (cached 5MB) IRAM 0/252kB(lfb 252kB) CPU [4%@204,24%@204,6%@204,8%@204] EMC_FREQ 26%@1600 GR3D_FREQ 99%@921 APE 25 PLL@25C CPU@30.5C PMIC@50C GPU@28C AO@38C thermal@29.25C POM_5V_IN 5565/5737 POM_5V_GPU 3317/3514 POM_5V_CPU 165/176
RAM 1608/3964MB (lfb 146x4MB) SWAP 203/1982MB (cached 5MB) IRAM 0/252kB(lfb 252kB) CPU [7%@307,24%@307,3%@307,6%@307] EMC_FREQ 26%@1600 GR3D_FREQ 85%@921 APE 25 PLL@25.5C CPU@31C PMIC@50C GPU@28C AO@38C thermal@29.25C POM_5V_IN 5557/5733 POM_5V_GPU 3400/3512 POM_5V_CPU 165/176
