Model Name,Layers,Total Parameters,Convolution Parameters,Total MACs,Network Type,Input Size,Avrg_RAM,Avrg_SWAP,Avrg_IRAM,Avrg_CPU,Avrg_GPU,Avrg_EMC_FREQ,Avrg_APE,Avrg_PLL,Avrg_PMIC,Avrg_POM_5V_IN,Avrg_POM_5V_GPU,Avrg_POM_5V_CPU,Avrg_GPU_TEMP,Avrg_CPU_TEMP,Avrg_THERMAL,Avrg_AO,Total_POM_5V_IN,Total_POM_5V_GPU,Total_POM_5V_CPU,num_inferences,average_latency(ms),GPU_energy_per_inference,CPU_energy_per_inference
convnet_L6_F480_K5x5_W95_DWS,6,44538808,1218798,11042971960,dws,95,1791.033898305085,174.0,0.0,3.690677966101695,95.33898305084746,23.728813559322035,25.0,24.548387096774192,50.0,5908.847457627118,3705.745762711864,134.22033898305085,27.782608695652176,30.681818181818183,29.140243902439025,38.53333333333333,348622.0,218639.0,7919.0,228,262.05601930618286,958.9429824561404,34.73245614035088
convnet_L6_F480_K5x5_W100_DWS,6,49218808,1218798,12235980010,dws,100,1815.0,174.0,0.0,3.733050847457627,97.64406779661016,17.52542372881356,25.0,24.4375,50.0,5615.203389830508,3557.966101694916,125.1864406779661,27.517241379310345,30.52,29.01630434782609,38.142857142857146,331297.0,209920.0,7386.0,205,292.1809554100036,1024.0,36.02926829268293
convnet_L6_F512_K2x2_W25_DWS,6,10795033,1328143,1850357242,dws,25,1642.0,174.0,0.0,9.271929824561404,88.19298245614036,30.98245614035088,25.0,24.47826086956522,50.0,5497.298245614035,3104.1052631578946,168.3684210526316,27.791666666666668,30.0,28.79878048780488,37.61538461538461,313346.0,176934.0,9597.0,1333,45.5411052703857,132.73368342085521,7.199549887471868
convnet_L6_F512_K2x2_W35_DWS,6,15710233,1328143,2970541222,dws,35,1661.0,174.0,0.0,7.775862068965517,90.22413793103448,31.03448275862069,25.0,24.433333333333334,50.0,5531.327586206897,3145.258620689656,153.20689655172413,27.65625,29.818181818181817,28.766129032258064,37.41666666666666,320817.0,182425.0,8886.0,893,67.6700663566589,204.28331466965287,9.950727883538633
convnet_L6_F512_K2x2_W45_DWS,6,21649433,1328143,4357377802,dws,45,1685.033898305085,174.0,0.0,6.364406779661017,91.1864406779661,21.322033898305083,25.0,24.1,50.0,5496.28813559322,3378.762711864407,144.98305084745763,27.571428571428573,30.15625,28.963541666666668,38.38235294117647,324281.0,199347.0,8554.0,679,91.7448472976684,293.58910162002945,12.597938144329897
convnet_L6_F512_K2x2_W55_DWS,6,28612633,1328143,6010866982,dws,55,1719.966101694915,174.0,0.0,6.093220338983051,91.08474576271186,24.1864406779661,25.0,24.48275862068965,50.0,5508.576271186441,3329.338983050848,144.864406779661,27.5,30.23809523809524,29.0,38.12162162162162,325006.0,196431.0,8547.0,501,118.4470224380493,392.07784431137725,17.059880239520957
convnet_L6_F512_K2x2_W65_DWS,6,36599833,1328143,7931008762,dws,65,1748.0,174.0,0.0,4.948275862068965,95.96551724137932,22.344827586206897,25.0,24.142857142857142,50.0,5653.551724137931,3501.0689655172414,126.60344827586206,27.65625,30.35483870967742,28.994791666666668,38.27142857142857,327906.0,203062.0,7343.0,389,152.9595494270324,522.0102827763496,18.876606683804628
convnet_L6_F512_K2x2_W75_DWS,6,45611033,1328143,10117803142,dws,75,1787.0,175.0,0.0,4.357758620689655,95.29310344827586,29.120689655172413,25.0,24.633333333333333,50.0,5983.241379310345,3670.362068965517,124.06896551724138,27.703703703703702,30.6,29.203125,39.0,347028.0,212881.0,7196.0,308,194.4130206108093,691.172077922078,23.363636363636363
convnet_L6_F512_K2x2_W85_DWS,6,55646233,1328143,12571250122,dws,85,1832.0,175.0,0.0,4.125,96.74137931034484,25.5,25.0,24.285714285714285,50.0,5863.637931034483,3600.758620689656,123.53448275862068,27.966666666666665,30.620689655172413,29.12837837837838,38.35714285714285,340091.0,208844.0,7165.0,250,239.8837685585022,835.376,28.66
convnet_L6_F512_K2x2_W95_DWS,6,66705433,1328143,15291349702,dws,95,1885.2372881355927,181.0,0.0,3.745762711864407,94.72881355932203,37.28813559322034,25.0,24.11111111111111,50.0,6071.067796610169,3498.3728813559323,139.4915254237288,27.48148148148148,29.772727272727277,28.68478260869565,37.46296296296296,358193.0,206404.0,8230.0,194,311.5575790405273,1063.9381443298969,42.422680412371136
convnet_L6_F512_K3x3_W35_DWS,6,7612968,1340958,1648945560,dws,35,1629.3389830508474,180.4915254237288,0.0,10.754237288135592,84.77966101694915,19.52542372881356,25.0,24.11111111111111,50.0,5366.983050847458,3296.830508474576,180.45762711864407,27.88571428571429,30.346153846153847,29.142857142857142,38.3421052631579,316652.0,194513.0,10647.0,1839,32.8124976158142,105.7710712343665,5.789559543230016
convnet_L6_F512_K3x3_W45_DWS,6,11708968,1340958,2725807960,dws,45,1648.0,166.0,0.0,9.135964912280702,90.9298245614035,31.666666666666668,25.0,24.55172413793104,50.0,5766.736842105263,3380.561403508772,159.80701754385964,27.761904761904763,30.433333333333334,29.15,38.12857142857143,328704.0,192692.0,9109.0,1123,56.614077091217,171.586821015138,8.111308993766697
convnet_L6_F512_K3x3_W55_DWS,6,16828968,1340958,4071885960,dws,55,1672.0,166.0,0.0,6.817796610169491,90.38983050847456,32.728813559322035,25.0,24.571428571428573,50.0,5812.966101694915,3425.830508474576,140.98305084745763,28.0,30.44117647058824,29.365384615384617,38.43939393939394,342965.0,202124.0,8318.0,773,76.8952560424804,261.47994825355755,10.760672703751617
convnet_L6_F512_K3x3_W65_DWS,6,22972968,1340958,5687179560,dws,65,1694.948275862069,166.0,0.0,5.982758620689655,92.44827586206895,32.89655172413793,25.0,24.58823529411765,50.0,5963.327586206897,3532.9655172413795,134.74137931034485,28.115384615384617,30.58823529411765,29.31770833333333,38.32608695652174,345873.0,204912.0,7815.0,552,108.44550371170041,371.2173913043478,14.157608695652174
convnet_L6_F512_K3x3_W75_DWS,6,30140968,1340958,7571688760,dws,75,1726.4237288135594,166.0,0.0,5.182203389830509,93.57627118644068,33.644067796610166,25.0,24.59090909090909,50.0,5945.067796610169,3514.491525423729,135.4915254237288,28.34285714285714,30.82608695652174,29.44,38.55714285714286,350759.0,207355.0,7994.0,428,138.59776496887199,484.47429906542055,18.677570093457945
convnet_L6_F512_K3x3_W85_DWS,6,38332968,1340958,9725413560,dws,85,1767.0,166.0,0.0,4.538793103448276,94.05172413793105,22.448275862068964,25.0,24.73076923076923,50.0,5744.189655172414,3579.603448275862,127.17241379310344,28.39130434782609,31.0,29.532894736842103,38.87837837837838,333163.0,207617.0,7376.0,357,167.4967861175537,581.5602240896359,20.66106442577031
convnet_L6_F512_K3x3_W95_DWS,6,47548968,1340958,12148353960,dws,95,1806.0169491525423,167.0,0.0,4.283898305084746,94.2542372881356,31.966101694915253,25.0,24.954545454545453,50.0,6244.864406779661,3828.1186440677966,142.20338983050848,28.529411764705884,31.1,29.78488372093023,39.21875,368447.0,225859.0,8390.0,289,206.9668745994567,781.5190311418685,29.031141868512112
convnet_L6_F512_K4x4_W25_DWS,6,6279229,1358899,1150121654,dws,25,1622.0,167.0,0.0,10.182203389830509,83.52542372881356,17.11864406779661,25.0,24.774193548387096,50.0,5208.457627118644,3162.0169491525426,197.0169491525424,27.973684210526315,30.72,29.27659574468085,38.20588235294117,307299.0,186559.0,11624.0,2026,29.4424223899841,92.08242843040473,5.73741362290227
convnet_L6_F512_K4x4_W35_DWS,6,9965629,1358899,2077733434,dws,35,1639.0169491525423,167.0,0.0,9.351694915254235,86.23728813559322,26.15254237288136,25.0,24.565217391304348,50.0,5490.576271186441,3227.9491525423728,169.03389830508473,27.84375,30.57575757575757,29.12,38.01428571428571,323944.0,190449.0,9973.0,1149,51.2816929817199,165.75195822454307,8.679721496953873
convnet_L6_F512_K4x4_W45_DWS,6,14676029,1358899,3278149014,dws,45,1659.280701754386,167.0,0.0,6.7631578947368425,91.6842105263158,27.33333333333333,25.0,24.73333333333333,50.0,5608.122807017544,3324.0877192982457,145.68421052631578,28.09090909090909,30.73913043478261,29.343023255813957,38.37096774193548,319663.0,189473.0,8304.0,776,77.13406085968009,244.16623711340208,10.70103092783505
convnet_L6_F512_K4x4_W55_DWS,6,20410429,1358899,4751368394,dws,55,1684.0,167.0,0.0,5.758620689655173,95.91379310344828,28.189655172413797,25.0,24.58620689655172,50.0,5756.620689655172,3450.189655172414,129.3448275862069,28.107142857142858,30.689655172413797,29.31111111111111,38.45,333884.0,200111.0,7502.0,552,108.2815504074096,362.5199275362319,13.590579710144928
convnet_L6_F512_K4x4_W65_DWS,6,27168829,1358899,6497391574,dws,65,1713.2758620689656,167.0,0.0,5.047413793103448,96.55172413793105,20.344827586206897,25.0,24.785714285714285,50.0,5638.551724137931,3526.9310344827586,132.31034482758622,28.428571428571427,31.157894736842103,29.644736842105264,38.6,327036.0,204562.0,7674.0,427,139.132707118988,479.0679156908665,17.971896955503514
convnet_L6_F512_K4x4_W75_DWS,6,34951229,1358899,8516218554,dws,75,1746.0,167.0,0.0,4.612068965517241,98.70689655172414,21.46551724137931,25.0,24.620689655172413,50.0,5727.862068965517,3554.310344827586,132.1206896551724,28.12903225806452,30.83333333333333,29.56547619047619,38.77586206896552,332216.0,206150.0,7663.0,334,179.14117097854609,617.2155688622754,22.94311377245509
convnet_L6_F512_K4x4_W85_DWS,6,43757629,1358899,10807849334,dws,85,1786.050847457627,167.0,0.0,3.9364406779661016,96.64406779661016,24.338983050847457,25.0,24.714285714285715,50.0,5795.033898305085,3529.4576271186443,139.3728813559322,28.428571428571427,30.894736842105264,29.6890243902439,38.67142857142857,341907.0,208238.0,8223.0,265,226.0434246063232,785.8037735849057,31.030188679245285
