Model Name,Layers,Total Parameters,Total MACs,Network Type,Input Size,Avrg_RAM,Avrg_SWAP,Avrg_IRAM,Avrg_CPU,Avrg_GPU,Avrg_EMC_FREQ,Avrg_APE,Avrg_PMIC,Avrg_POM_5V_IN,Avrg_POM_5V_GPU,Avrg_POM_5V_CPU,Avrg_AO,Avrg_THERMAL,Avrg_PLL,Avrg_GPU_TEMP,Avrg_CPU_TEMP,Total_POM_5V_IN,Total_POM_5V_GPU,Total_POM_5V_CPU,num_inferences,average_latency(ms),GPU_energy_per_inference,CPU_energy_per_inference
convnet_L3_F448_K4x4_W45,3,16767306,14551228618,ConvNet,45,1754.0,373.0,0.0,2.81140350877193,96.6842105263158,13.56140350877193,25.0,50.0,6777.228070175439,4753.526315789473,147.9298245614035,42.92424242424242,32.81818181818182,27.32,31.125,35.02777777777778,386302.0,270951.0,8432.0,371.0,160.8160662651062,730.3261455525607,22.7277628032345
convnet_L3_F448_K4x4_W50,3,19029706,17775849738,ConvNet,50,1763.0,373.0,0.0,2.309322033898305,96.32203389830508,13.677966101694915,25.0,50.0,6794.949152542373,4813.186440677966,124.23728813559322,43.02941176470589,32.7125,26.923076923076923,31.11111111111111,34.75,400902.0,283978.0,7330.0,306.0,196.1135530471801,928.0326797385621,23.954248366013072
convnet_L3_F448_K4x4_W55,3,21516106,21322963658,ConvNet,55,1778.0,373.0,0.0,2.199152542372881,97.71186440677968,17.52542372881356,25.0,50.0,6821.593220338983,4723.8983050847455,128.3728813559322,42.7,32.84659090909091,27.071428571428573,30.93548387096774,34.89655172413793,402474.0,278710.0,7574.0,248.0,241.9828701019287,1123.8306451612902,30.54032258064516
convnet_L3_F448_K4x4_W60,3,24226506,25192570378,ConvNet,60,1786.0,373.0,0.0,2.1206896551724137,98.06896551724138,14.60344827586207,25.0,50.0,6871.5,4815.706896551724,134.68965517241378,43.05263157894737,32.6375,27.166666666666668,31.26923076923077,34.78125,398547.0,279311.0,7812.0,215.0,278.3655524253845,1299.120930232558,36.334883720930236
convnet_L3_F448_K4x4_W65,3,27160906,29384669898,ConvNet,65,1802.033898305085,373.0,0.0,3.296610169491525,95.66101694915254,18.23728813559322,25.0,50.0,6824.8983050847455,4698.745762711865,135.67796610169492,42.61111111111112,32.72093023255814,27.21212121212121,30.964285714285715,34.6764705882353,402669.0,277226.0,8005.0,182.0,328.46771717071533,1523.2197802197802,43.98351648351648
convnet_L3_F448_K4x4_W70,3,30319306,33899262218,ConvNet,70,1818.0,373.0,0.0,2.817796610169492,97.27118644067797,18.508474576271187,25.0,50.0,6957.338983050848,4834.135593220339,154.98305084745763,43.07142857142857,32.864583333333336,27.32258064516129,31.161290322580644,35.13157894736842,410483.0,285214.0,9144.0,160.0,374.3397426605224,1782.5875,57.15
convnet_L3_F448_K4x4_W75,3,33701706,38736347338,ConvNet,75,1830.896551724138,373.0,0.0,1.4827586206896552,98.58620689655172,15.172413793103448,25.0,50.0,6869.96551724138,4851.120689655172,127.0,42.94117647058823,32.97282608695652,27.34375,31.4,35.096774193548384,398458.0,281365.0,7366.0,143.0,418.6981201171875,1967.5874125874127,51.51048951048951
convnet_L3_F448_K4x4_W80,3,37308106,43895925258,ConvNet,80,1844.0,373.0,0.0,3.538135593220339,98.1864406779661,19.016949152542374,25.0,50.0,6977.6949152542375,4833.440677966101,124.0677966101695,43.1,33.18421052631579,27.53333333333333,31.666666666666668,35.19444444444444,411684.0,285173.0,7320.0,125.0,482.48592376708984,2281.384,58.56
convnet_L3_F448_K4x4_W85,3,41138506,49377995978,ConvNet,85,1860.7796610169487,373.0,0.0,3.76271186440678,97.8135593220339,19.06779661016949,25.0,50.0,7032.152542372882,4884.6949152542375,145.4915254237288,43.03333333333333,33.34146341463415,27.545454545454547,31.63636363636364,35.23529411764706,414897.0,288197.0,8584.0,111.0,541.604323387146,2596.3693693693695,77.33333333333333
convnet_L3_F512_K2x2_W65,3,30141962,11092072970,ConvNet,65,2058.0,373.0,0.0,5.637931034482759,95.96551724137932,30.08620689655172,25.0,50.0,6480.086206896552,4086.689655172414,140.72413793103448,40.9375,32.15,26.97058823529412,30.766666666666666,33.54545454545455,375845.0,237028.0,8162.0,332.0,180.00395298004148,713.9397590361446,24.58433734939759
