Model Name,Layers,Total Parameters,Total MACs,Network Type,Input Size,Avrg_RAM,Avrg_SWAP,Avrg_IRAM,Avrg_CPU,Avrg_GPU,Avrg_EMC_FREQ,Avrg_APE,Avrg_CPU_TEMP,Avrg_PMIC,Avrg_THERMAL,Avrg_POM_5V_IN,Avrg_POM_5V_GPU,Avrg_POM_5V_CPU,Avrg_PLL,Avrg_AO,Avrg_GPU_TEMP,num_inferences,Average Inference Time (seconds),Total_POM_5V_IN,Total_POM_5V_GPU,Total_POM_5V_CPU,average_latency(ms),GPU_energy_per_inference,CPU_energy_per_inference
convnet_L7_F1024_K1x1_W50,7,48244746,22048436234,ConvNet,50,2370.9491525423728,473.0,0.0,3.4322033898305087,95.50847457627118,33.03389830508475,25.0,34.65384615384615,50.0,32.78658536585366,6536.135593220339,4224.610169491525,130.89830508474577,27.676470588235293,42.33870967741935,31.14814814814815,194,0.310219814777374,385632.0,249252.0,7723.0,309.5470666885376,1284.8041237113403,39.80927835051546
convnet_L7_F1024_K1x1_W60,7,62375946,30128164874,ConvNet,60,2475.423728813559,473.0,0.0,3.694915254237288,97.77966101694916,33.16949152542373,25.0,34.86666666666667,50.0,32.64772727272727,6674.135593220339,4226.254237288135,184.98305084745763,27.5,42.62903225806452,30.782608695652176,144,0.441418991088867,393774.0,249349.0,10914.0,418.23111057281494,1731.5902777777778,75.79166666666667
convnet_L7_F1024_K1x1_W70,7,78555146,39470280714,ConvNet,70,2585.5,473.0,0.0,2.8491379310344827,99.0,33.48275862068966,25.0,34.67857142857143,50.0,32.75581395348837,6627.810344827586,4270.0,127.94827586206895,27.783783783783782,42.19565217391305,30.964285714285715,111,0.553909342288971,384413.0,247660.0,7421.0,544.612603187561,2231.171171171171,66.85585585585585
convnet_L7_F1024_K2x2_W10,7,35025930,14574073866,ConvNet,10,2204.0508474576272,473.0,0.0,4.360169491525424,93.7457627118644,15.64406779661017,25.0,35.21052631578947,50.0,33.25595238095238,6335.728813559322,4326.440677966101,136.61016949152545,27.94117647058824,43.22413793103448,31.321428571428573,319,0.191472675800323,373808.0,255260.0,8060.0,188.2268404960632,800.1880877742947,25.266457680250785
convnet_L7_F1024_K2x2_W20,7,42398730,28934260746,ConvNet,20,2275.0,472.0,0.0,2.580508474576271,97.10169491525424,21.52542372881356,25.0,34.5,50.0,32.56521739130435,6441.610169491525,4271.3050847457625,128.67796610169492,27.7,42.66666666666666,30.86206896551724,145,0.416132919788361,380055.0,252007.0,7592.0,413.91173362731934,1737.9793103448276,52.358620689655176
convnet_L7_F1024_K2x2_W30,7,51819530,48333551626,ConvNet,30,2369.0,472.0,0.0,2.114406779661017,97.30508474576273,23.64406779661017,25.0,34.58064516129032,50.0,32.48170731707317,6463.593220338983,4233.169491525424,127.2542372881356,27.724137931034484,42.310810810810814,30.794117647058822,82,0.734171578884125,381352.0,249757.0,7508.0,733.1735372543335,3045.817073170732,91.5609756097561
convnet_L7_F1024_K4x4_W10,7,103678986,21468399626,ConvNet,10,2713.338983050848,472.0,0.0,3.207627118644068,97.49152542372882,11.915254237288137,25.0,35.25,50.0,33.067708333333336,6551.728813559322,4524.338983050848,144.59322033898306,27.84375,43.46428571428572,30.88,216,0.278230497837067,386552.0,266936.0,8531.0,277.8748130798339,1235.8148148148148,39.495370370370374
convnet_L8_F128_K3x3_W100,8,13836682,10379520010,ConvNet,100,1755.0,468.0,0.0,5.241379310344827,93.70689655172414,49.08620689655172,25.0,34.46666666666667,50.0,33.025510204081634,6943.810344827586,4218.862068965517,129.67241379310346,28.6,42.47142857142857,31.73076923076923,640,0.0944120788574218,402741.0,244694.0,7521.0,93.2448959350586,382.334375,11.7515625
convnet_L8_F128_K4x4_W70,8,9629706,10373708298,ConvNet,70,1718.033898305085,467.0,0.0,4.423728813559322,93.47457627118644,11.728813559322036,25.0,35.57142857142857,50.0,33.61904761904762,6446.949152542373,4513.677966101695,144.94915254237287,28.11111111111111,43.72222222222222,31.75609756097561,513,0.115550329685211,380370.0,266307.0,8552.0,117.6798462867736,519.1169590643275,16.67056530214425
convnet_L8_F128_K4x4_W80,8,11754506,13322812938,ConvNet,80,1733.033898305085,467.0,0.0,3.8347457627118646,93.2542372881356,12.64406779661017,25.0,35.63157894736842,50.0,33.55921052631579,6553.067796610169,4614.813559322034,131.59322033898306,28.142857142857142,43.69230769230769,31.857142857142858,403,0.152928359508514,386631.0,272274.0,7764.0,147.6913928985595,675.6178660049628,19.265508684863523
convnet_L8_F128_K4x4_W90,8,14135306,16640608778,ConvNet,90,1748.7627118644068,467.0,0.0,3.2838983050847457,96.98305084745763,12.610169491525424,25.0,35.73529411764706,50.0,33.48255813953488,6607.525423728814,4654.8983050847455,143.15254237288136,28.07692307692308,43.958333333333336,31.61111111111111,327,0.182382979393005,389844.0,274639.0,8446.0,182.8490018844604,839.8746177370031,25.828746177370032
convnet_L8_F128_K4x4_W100,8,16772106,20327095818,ConvNet,100,1764.0,467.0,0.0,3.1336206896551726,95.82758620689656,12.689655172413794,25.0,35.714285714285715,50.0,33.91428571428571,6589.396551724138,4636.706896551724,130.13793103448276,28.40909090909091,43.95161290322581,31.77777777777778,269,0.224029364585876,382185.0,268929.0,7548.0,223.6235737800598,999.7360594795539,28.059479553903344
convnet_L8_F256_K3x3_W50,8,10537738,10350720010,ConvNet,50,1747.232142857143,467.0,0.0,5.294642857142857,93.98214285714286,50.32142857142857,25.0,35.72222222222222,50.0,34.07843137254902,7254.75,4514.357142857143,151.875,29.423076923076923,43.7962962962963,32.57575757575758,638,0.098796169757843,406266.0,252804.0,8505.0,93.7095952033996,396.2445141065831,13.330721003134796
convnet_L8_F256_K3x3_W60,8,13353738,14905036810,ConvNet,60,1761.0,467.0,0.0,4.419491525423729,95.08474576271186,52.25423728813559,25.0,35.94871794871795,50.0,34.24375,7494.203389830508,4753.762711864407,146.45762711864407,29.41935483870968,44.19230769230769,32.6764705882353,550,0.111899962425232,442158.0,280472.0,8641.0,108.5602712631225,509.9490909090909,15.710909090909091
convnet_L8_F256_K3x3_W70,8,16681738,20287411210,ConvNet,70,1776.0169491525423,467.0,0.0,3.8220338983050848,97.22033898305084,52.42372881355932,25.0,36.09375,50.0,34.42307692307692,7577.779661016949,4774.271186440678,143.0,29.346153846153847,44.535714285714285,32.833333333333336,396,0.153760569095611,447089.0,281682.0,8437.0,151.1400270462036,711.3181818181819,21.305555555555557
convnet_L8_F256_K3x3_W80,8,20521738,26497843210,ConvNet,80,1793.9322033898304,467.0,0.0,3.199152542372881,95.91525423728814,56.16949152542373,25.0,36.10344827586207,50.0,34.619565217391305,7679.932203389831,4862.101694915255,124.1864406779661,29.620689655172413,44.6,32.888888888888886,349,0.172444322109222,453116.0,286864.0,7327.0,171.025288105011,821.9598853868195,20.994269340974213
convnet_L8_F256_K3x3_W90,8,24873738,33536332810,ConvNet,90,1834.0,467.0,0.0,3.0635593220338984,97.15254237288136,52.94915254237288,25.0,36.07692307692308,50.0,34.546052631578945,7607.525423728814,4829.389830508475,128.35593220338984,29.714285714285715,44.67391304347826,33.03333333333333,249,0.244697370529175,448844.0,284934.0,7573.0,239.5478010177612,1144.313253012048,30.413654618473895
convnet_L8_F256_K3x3_W100,8,29737738,41402880010,ConvNet,100,1878.728813559322,467.0,0.0,3.016949152542373,98.6271186440678,57.88135593220339,25.0,34.964285714285715,50.0,33.489583333333336,7735.372881355932,4763.593220338983,136.3728813559322,28.65217391304348,43.20967741935484,32.03333333333333,194,0.316324090957642,456387.0,281052.0,8046.0,309.34360742568964,1448.721649484536,41.47422680412371
convnet_L8_F256_K2x2_W60,8,19903498,10429397002,ConvNet,60,2005.7796610169487,467.0,0.0,5.813559322033898,93.77966101694916,19.35593220338983,25.0,34.36666666666667,50.0,32.55,6137.084745762712,4059.4745762711855,153.23728813559322,27.90322580645161,42.46774193548387,31.0,405,0.151002495288849,362088.0,239509.0,9041.0,147.4197840690612,591.3802469135802,22.32345679012346
convnet_L8_F256_K2x2_W70,8,24460298,13377359882,ConvNet,70,2034.050847457627,467.0,0.0,5.61864406779661,94.6271186440678,20.305084745762716,25.0,34.333333333333336,50.0,32.57692307692308,6203.372881355932,4074.9661016949153,141.33898305084745,27.870967741935484,41.96666666666667,31.03448275862069,323,0.206012573242187,365999.0,240423.0,8339.0,185.5251502990722,744.343653250774,25.81733746130031
convnet_L8_F256_K2x2_W80,8,29529098,16693860362,ConvNet,80,2079.0,467.0,0.0,5.101694915254237,96.9322033898305,27.0,25.0,33.96153846153846,50.0,32.286458333333336,6395.372881355932,4112.016949152542,144.79661016949152,27.666666666666668,42.07575757575758,30.814814814814813,254,0.239422922134399,377327.0,242609.0,8543.0,236.535906791687,955.1535433070866,33.63385826771653
convnet_L8_F256_K2x2_W90,8,35109898,20378898442,ConvNet,90,2130.745762711864,467.0,0.0,4.622881355932203,95.98305084745763,20.57627118644068,25.0,34.35,50.0,32.351190476190474,6304.949152542373,4167.881355932203,146.33898305084745,27.71875,42.53225806451613,31.0,216,0.27964884519577,371992.0,245905.0,8634.0,277.1815490722656,1138.4490740740741,39.97222222222222
convnet_L8_F256_K2x2_W100,8,41202698,24432474122,ConvNet,100,2186.0,467.0,0.0,4.266949152542373,98.27118644067797,28.016949152542374,25.0,34.14705882352941,50.0,32.7037037037037,6143.864406779661,3679.35593220339,141.23728813559322,27.857142857142858,41.94117647058823,30.64,177,0.356092760562897,362488.0,217082.0,8333.0,340.49413681030273,1226.4519774011299,47.07909604519774
convnet_L8_F256_K4x4_W40,8,13252618,14923545610,ConvNet,40,1730.0,467.0,0.0,3.8262711864406778,94.16949152542372,14.203389830508474,25.0,36.48,50.0,34.421875,6667.084745762712,4632.169491525424,141.0,29.0,45.11764705882353,32.93333333333333,371,0.163710415363312,393358.0,273298.0,8319.0,160.7751107215881,736.6522911051213,22.423180592991915
convnet_L8_F256_K4x4_W50,8,15966218,22279623690,ConvNet,50,1743.966101694915,466.0,0.0,2.796610169491525,96.35593220338984,15.0,25.0,35.76923076923077,50.0,34.032407407407405,6758.745762711865,4709.406779661017,122.8813559322034,28.6,44.87931034482759,32.28,254,0.239790422916412,398766.0,277855.0,7250.0,235.9033370018005,1093.9173228346456,28.543307086614174
convnet_L8_F256_K4x4_W60,8,19191818,31107087370,ConvNet,60,1759.050847457627,466.0,0.0,2.4279661016949152,97.72881355932203,11.59322033898305,25.0,35.853658536585364,50.0,33.970238095238095,6595.661016949152,4640.864406779661,158.3728813559322,28.37037037037037,44.42592592592592,32.06896551724138,183,0.329831273555756,389144.0,273811.0,9344.0,327.7648496627807,1496.2349726775956,51.060109289617486
